Here are the two tables in CSV format as requested:
```csv
SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Seacoast Banking Corporation of Florida","New York,"NY"","2023","Black Rock,"Inc."","n/a","12349790","14.6%","n/a"
"Seacoast Banking Corporation of Florida","Malvern,"PA"","2023","The Vanguard Group","n/a","6030200","7.1%","n/a"
"Seacoast Banking Corporation of Florida","Boston,"MA"","2023","Wellington Management Group LLP","n/a","4551911","5.4%","n/a"
"Seacoast Banking Corporation of Florida","Los Angeles,"CA"","2023","Capital World Investors","n/a","-","0%","n/a"
```
```csv
INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","RSSD_ID"
"Seacoast Banking Corporation of Florida","Director","Dennis J. Arczynski","Principal","Dennis Arczynski and Company,"LLC"","2023","Risk management and banking consultant"
"Seacoast Banking Corporation of Florida","Director","Christopher E. Fogal","Member","TC Start LLC","2023","Certified Public Accountant"
"Seacoast Banking Corporation of Florida","Director","Christopher E. Fogal","n/a","Larry Lee Jr & Friends LLC","2023","Certified Public Accountant"
"Seacoast Banking Corporation of Florida","Director","Christopher E. Fogal","n/a","Protect Our Kids LLC","2023","Certified Public Accountant"
"Seacoast Banking Corporation of Florida","Director","Maryann Goebel","Director","Repay Holdings Corporation","2023","Independent IT management consultant"
"Seacoast Banking Corporation of Florida","Director,"Chairman and Chief Executive Officer"","Dennis S. Hudson,"III"","Director","Chesapeake Utilities Corporation","2023","Director and Former Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Director,"Chairman and Chief Executive Officer"","Dennis S. Hudson,"III"","Director","Community Foundation of Palm Beach and Martin Counties.","2023","Director and Former Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Director","Robert J. Lipstein","Board Member","Firstrust Bank","2023","Certified Public Accountant"
"Seacoast Banking Corporation of Florida","Director","Robert J. Lipstein","Board Member","Onfolio Holdings","2023","Certified Public Accountant"
"Seacoast Banking Corporation of Florida","Director","Robert J. Lipstein","Board of Trustees","Einstein Healthcare Network","2023","Certified Public Accountant"
"Seacoast Banking Corporation of Florida","Director","Robert J. Lipstein","Board of Advisors","Infrasight Software","2023","Certified Public Accountant"
"Seacoast Banking Corporation of Florida","Director","Alvaro J. Monserrat","Chairman of the Board of Directors","Matrix42","2023","CEO of Ultra 7"
"Seacoast Banking Corporation of Florida","Director","Alvaro J. Monserrat","Chairman of the Board of","Itopia","2023","CEO of Ultra 7"
"Seacoast Banking Corporation of Florida","Director","Alvaro J. Monserrat","Chairman of the Board of","Login VSI","2023","CEO of Ultra 7"
"Seacoast Banking Corporation of Florida","Director","Thomas E. Rossin","Owner","Thomas E. Rossin,"Esq."","2023","Owner of Thomas E. Rossin,"Esq.""
"Seacoast Banking Corporation of Florida","Director","Joseph B. Shearouse,"III"","Managing Member","Ranch Property,"LLC"","2023","Former Market President of Bank"
"Seacoast Banking Corporation of Florida","Chairman and Chief Executive Officer","Charles M. Shaffer","Administrator","SBCF Capital Trust I","2023","Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Chairman and Chief Executive Officer","Charles M. Shaffer","Administrator","SBCF Statutory Trust II","2023","Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Chairman and Chief Executive Officer","Charles M. Shaffer","Administrator","SBCF Statutory Trust III","2023","Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Chairman and Chief Executive Officer","Charles M. Shaffer","Administrator","BANKshares Capital Trust I","2023","Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Chairman and Chief Executive Officer","Charles M. Shaffer","Administrator","BankFIRST (FL) Capital Trust I","2023","Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Chairman and Chief Executive Officer","Charles M. Shaffer","Administrator","BankFIRST (FL) Capital Trust II","2023","Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Chairman and Chief Executive Officer","Charles M. Shaffer","Administrator","Grand Bank Capital Trust I","2023","Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Chairman and Chief Executive Officer","Charles M. Shaffer","Director","Nature Coast Insurance,"Inc."","2023","Chairman and Chief Executive Officer"
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Financial Officer"","Tracey L. Dexter","Administrator","SBCF Capital Trust I","2023","Executive Vice President,"Chief Financial Officer""
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Financial Officer"","Tracey L. Dexter","Administrator","SBCF Statutory Trust II","2023","Executive Vice President,"Chief Financial Officer""
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Financial Officer"","Tracey L. Dexter","Administrator","SBCF Statutory Trust III","2023","Executive Vice President,"Chief Financial Officer""
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Financial Officer"","Tracey L. Dexter","Administrator","BANKshares Capital Trust I","2023","Executive Vice President,"Chief Financial Officer""
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Financial Officer"","Tracey L. Dexter","Administrator","BankFIRST (FL) Capital Trust I","2023","Executive Vice President,"Chief Financial Officer""
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Financial Officer"","Tracey L. Dexter","Administrator","BankFIRST (FL) Capital Trust II","2023","Executive Vice President,"Chief Financial Officer""
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Financial Officer"","Tracey L. Dexter","Administrator","Grand Bank Capital Trust I","2023","Executive Vice President,"Chief Financial Officer""
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Financial Officer"","Tracey L. Dexter","Director","Nature Coast Insurance,"Inc."","2023","Executive Vice President,"Chief Financial Officer""
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Risk Officer"","Joseph M. Forlenza","n/a","n/a","2023","n/a"
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Operating Officer"","Juliette P. Kleffel","n/a","n/a","2023","n/a"
"Seacoast Banking Corporation of Florida","Executive Vice President,"Chief Lending Officer"","Austen Carroll","Director","Nature Coast Insurance,"Inc."","2023","n/a"
```
