```csv
### SECURITIES HOLDERS CSV
"Bank","Town","Fiscal Year","Owner Name","Stock Class","Number of Shares","Percentage of Ownership","RSSD_ID"
"Burke & Herbert Financial Services Corp.","New York,"NY"","2023","BlackRock,"Inc"","n/a","n/a","6.4%","n/a"
### INSIDERS CSV
"Bank","Internal Title","Person","External Title","Affiliation","Fiscal Year","Occupation","Percentage of Voting Shares","RSSD_ID","Percentage of Voting Shares in Subsidiaries"
"Burke & Herbert Financial Services Corp.","DirectorChair","Michael D. Lubeley","n/a","Walsh Colucci Lubeley & Walsh P.C","2023","Principal","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Michael D. Lubeley","n/a","MDL - Reid's LLC","2023","Principal","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Michael D. Lubeley","n/a","MVL Holdings LLC","2023","Principal","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Michael D. Lubeley","n/a","T&M Associate LLC","2023","Principal","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Shawn P. McLaughlin","President,"CEO"","The McLaughlin Companies LLC","2023","President & CEO","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Shawn P. McLaughlin","President,"CEO"","McLaughlin Ryder Investments,"Inc."","2023","President & CEO","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Shawn P. McLaughlin","President,"CEO"","Management Solutions Plus,"Inc."","2023","President & CEO","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Jose D. Riojas","President,"Ownership interest"","Jose. D. Riojas,"LLC."","2023","Owner","<1%","n/a","n/a"
"Burke & Herbert Financial Services Corp.","DirectorChair","Jose D. Riojas","President,"Ownership interest"","Union Street Partners. LLC","2023","Owner","<1%","n/a","n/a"
```
