Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,RSSD_ID
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",President,"Toco Hill,Inc",2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",President,"Worthwood,Inc",2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Member,Lost River Partners Tenancy-In Common,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,CDH Properties,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",President,"Plant improvement Co,inc",2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,Clybel Tenancy-in-Common,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Vice President,Shepherd Construction Company,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,Jasper Tenancy-in-Common,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Managing Member,"Lost River Partners,LLC",2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,"Vinings Walk,LLC",2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,Briarcliff Properties,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,Granite Quarry Properties,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,Breckenridge Tenants In Common,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Member,"Lost River Association,LLC",2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,RTIC 2011,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,"Rock Mill 400,LP",2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Trustee,Toco Hili Retirement Trust,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Secretary-Treasurer,Rogers Bridge Co Inc.,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Partner,Investment Unlimited. LLC,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Board Member,Shepherd Center,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Trustee,Shepherd Foundation,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Board Member,GA Public Policy Fountation,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Board Member,GA Highway Contractors,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Trustee,Richard Russell Foundalion,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Trustee,Seda Vale Foundation,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Board Member,GA Asphall Association,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Trustee,Camp Sunshine,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Trustee,William Clyde Shaw Shepherd Accum Trust,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Trustee,Georgia Shaw Shepherd Accum Trust,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"W. Clyde Shepherd,III",Trustee,The RSS Family Trust,2017,Construction & Real Estate,
FIDELITY SOUTHERN CORPORATION,Director,"Rankin M. Smith,Jr.",Managing Partner,Rankin Investments LP,2017,Private Investor,
FIDELITY SOUTHERN CORPORATION,Director,"Rankin M. Smith,Jr.",Managing Partner,RMS Investments LLC,2017,Private Investor,
FIDELITY SOUTHERN CORPORATION,Director,"Rankin M. Smith,Jr.",Director,Archbold Hospital Foundation,2017,Private Investor,
FIDELITY SOUTHERN CORPORATION,Director,"Rankin M. Smith,Jr.",Member,The Farmers & Merchants Bank,2017,Private Investor,
FIDELITY SOUTHERN CORPORATION,Director,"Rankin M. Smith,Jr.",Trusteee,Thomas University,2017,Private Investor,
FIDELITY SOUTHERN CORPORATION,,"BlackRock,Inc",,,2017,,
FIDELITY SOUTHERN CORPORATION,,"RMB Capital Holdings,LLC",,,2017,,
FIDELITY SOUTHERN CORPORATION,,Dimensional Funds Advisors LP,,,2017,,
FIDELITY SOUTHERN CORPORATION,,"The Banc Funds Co.,LLC",,,2017,,
Financial Corporation of Louisiana,Treasurer,Arlene Albarado,"Director,Sr VP & CFO",,2014,Banker,
Financial Corporation of Louisiana,Director,Homer Ed Barousse,Director,,2014,Attorney,
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,LA Irrigation & Mill,2014,Louisiana Irrigation & Mill Co. & First National Farms,
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",V.P.,First National Farms,2014,Louisiana Irrigation & Mill Co. & First National Farms,
Financial Corporation of Louisiana,Director,Greg A. Jones,Vice President,Kalem LLC,2014,Oil & Gas Investments / Mayor,
Financial Corporation of Louisiana,"Director,Chairman",John Randall Prather,CBR Partnership Partner,CBR Partnership,2014,Banker,
Financial Corporation of Louisiana,Director,Randall Roach,Secretary,Kimira Properties,2014,Attorney/Mayor,
Financial Corporation of Louisiana,Director,Kevin Moody,President,The Moody Company,2014,The Moody Company,
Financial Corporation of Louisiana,Director,Christopher Arsement,Partner,"Arsement,Redd & Morella",2014,Accountant,
Financial Corporation of Louisiana,Director,"James M. Cunningham,III",Director,,2014,Attorney,
Financial Corporation of Louisiana,Director,Lawrence J. Prevost,Small Owner,Signal Investment LLC,2014,Banker,
Financial Corporation of Louisiana,Director,Thomas Tucker Johnston,Partner,"MLBJ,LLC",2014,Retired (State of La-Dept. Corrections),
Financial Corporation of Louisiana,"Director,President",Stephen P. Hollier,"Director,President",,2014,Banker,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Fred J. Gossen Co,2014,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"Henry Gossen,Inc.",2014,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"Gossen and Ware,LLC",2014,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,ALC Real Estate,2014,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG Properties,Inc.",2014,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Gossen Ware Gossen Properties,2014,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Part Owner,"Affiliated Medical Supplies,Inc.",2014,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"FJG,Sr. Partners","Inc.,2014",Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"F. Gossen & A. Gossen,Ltd. Partnership",2014,Real Estate Appraiser,
Financial Corporation of Louisiana,Secretary to the Board,Yvonne D. Menard,Martha Hanks,"Dupuis LLC & M.H.Dupuis Farms,LLC",2014,Banker,
Financial Corporation of Louisiana,"Director,Sr VP & CFO",Arlene Albarado,Treasurer,,2015,Banker,2227182
Financial Corporation of Louisiana,Director,Homer Ed Barousse,Attorney,,2015,Attorney,2227182
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,LA Irrigation & Mill,2015,Louisiana Irrigation & Mill Co. & First National Farms,2227182
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",V.P.,1st Nat'l Farms,2015,Louisiana Irrigation & Mill Co. & First National Farms,2227182
Financial Corporation of Louisiana,Director,Greg A. Jones,Vice President,Kalem LLC,2015,Oil & Gas Investments / Mayor,2227182
Financial Corporation of Louisiana,"Director,Chairman",John Randall Prather,Partner,CBR Partnership,2015,Banker,2227182
Financial Corporation of Louisiana,Director,Randall Roach,Secretary,Kimira Properties,2015,Attorney/Mayor,2227182
Financial Corporation of Louisiana,Director,Kevin Moody,President,The Moody Company,2015,The Moody Company,2227182
Financial Corporation of Louisiana,Director,Christopher Arsement,Partner,"Arsement,Redd & Morella",2015,Accountant,2227182
Financial Corporation of Louisiana,Director,"James M. Cunningham,III",Attorney,,2015,Attorney,2227182
Financial Corporation of Louisiana,Director,Lawrence J. Prevost,Small Owner,Signal Investment LLC,2015,Banker,2227182
Financial Corporation of Louisiana,Director,Thomas Tucker Johnston,Partner,"MLBJ,LLC",2015,Retired (State of La-Dept. Corrections),2227182
Financial Corporation of Louisiana,"Director,President",Stephen P. Hollier,,,2015,Banker,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Fred J. Gossen Co,2015,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"Henry Gossen,Inc.",2015,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"Gossen and Ware,LLC",2015,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,ALC Real Estate,2015,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG Properties,Inc.",2015,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Gossen Ware Gossen Properties,2015,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Part Owner,"Affiliated Medical Supplies,Inc.",2015,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG,Sr. Partners","Inc.,2015",Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"F. Gossen & A. Gossen,Ltd. Partnership",2015,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Secretary to the Board,Yvonne D. Menard,,"Martha Hanks Dupuis LLC & M.H.Dupuis Farms,LLC",2015,Banker,2227182
Financial Corporation of Louisiana,Treasurer,Arlene Albarado,"Director,Sr VP & CFO",First National Bank of LA,2016,Banker,2227182
Financial Corporation of Louisiana,Director,William A. Dore',Director,First National Bank of LA,2016,Louisiana Rice Mill,2227182
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,First National Bank of LA,2016,Louisiana Irrigation & Mill Co. & First National Farms,2227182
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",V.P.,1st Nat'l Farms,2016,Louisiana Irrigation & Mill Co. & First National Farms,2227182
Financial Corporation of Louisiana,Director,Greg A. Jones,Director,First National Bank of LA,2016,Oil & Gas Investments / Mayor,2227182
Financial Corporation of Louisiana,Director,Greg A. Jones,Vice President,Kalem LLC,2016,Oil & Gas Investments / Mayor,2227182
Financial Corporation of Louisiana,"Director,Chairman",John Randall Prather,"Director,President & CEO",First National Bank of LA,2016,Banker,2227182
Financial Corporation of Louisiana,"Director,Chairman",John Randall Prather,Partner,CBR Partnership,2016,Banker,2227182
Financial Corporation of Louisiana,Director,Randall Roach,Director,First National Bank of LA,2016,Attorney/Mayor,2227182
Financial Corporation of Louisiana,Director,Randall Roach,Secretary,Kimira Properties,2016,Attorney/Mayor,2227182
Financial Corporation of Louisiana,Director,Kevin Moody,President,The Moody Company,2016,The Moody Company,2227182
Financial Corporation of Louisiana,Director,Christopher Arsement,Chairman of the Board,Rayne State Bank,2016,Accountant,2227182
Financial Corporation of Louisiana,Director,Christopher Arsement,Partner,"Arsement,Redd & Morella",2016,Accountant,2227182
Financial Corporation of Louisiana,Director,"James M. Cunningham,III",Director,Rayne State Bank,2016,Attorney,2227182
Financial Corporation of Louisiana,Director,Lawrence J. Prevost,CFO,Rayne State Bank,2016,Banker,2227182
Financial Corporation of Louisiana,Director,Lawrence J. Prevost,Owner,Signal Investment LLC,2016,Banker,2227182
Financial Corporation of Louisiana,Director,Thomas Tucker Johnston,Director,Rayne State Bank,2016,Retired (State of La- Dept. Corrections),2227182
Financial Corporation of Louisiana,Director,Thomas Tucker Johnston,Partner,"MLBJ,LLC",2016,Retired (State of La- Dept. Corrections),2227182
Financial Corporation of Louisiana,"Director,President",Stephen P. Hollier,Director,Rayne State Bank,2016,Banker,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Director,Rayne State Bank,2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Fred J. Gossen Co,2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"Henry Gossen,Inc.",2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"Gossen and Ware,LLC",2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,ALC Real Estate,2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG Properties,Inc.",2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Gossen Ware Gossen Properties,2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"Affiliated Medical Supplies,Inc.",2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG,Sr. Partners","Inc.,2016",Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"F. Gossen & A. Gossen,Ltd. Partnership",2016,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Secretary to the Board,Yvonne D. Menard,"Sr. Vice President,Sr. Admin. Officer","Martha Hanks Dupuis LLC & M.H.Dupuis Farms,LLC",2016,Banker,2227182
Financial Corporation of Louisiana,,Financial Corporation of LA ESOP,,,2016,,2227182
Financial Corporation of Louisiana,Treasurer,Arlene Albarado,,,2017,Banker,2227182
Financial Corporation of Louisiana,Director,William A. Dore',VP Sales,,2017,Louisiana Rice Mill,2227182
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,LA Irrigation & Mill,2017,Louisiana Irrigation & Mill Co. & First National Farms,2227182
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,1st Nat'l Farms,2017,Louisiana Irrigation & Mill Co. & First National Farms,2227182
Financial Corporation of Louisiana,Director,Greg A. Jones,Vice President,Kalem LLC,2017,Oil & Gas Investments / Mayor,2227182
Financial Corporation of Louisiana,"Director,Chairman",John Randall Prather,Partner,CBR Partnership,2017,Banker,2227182
Financial Corporation of Louisiana,Director,Randall Roach,Secretary,Kimira Properties,2017,Attorney/Mayor,2227182
Financial Corporation of Louisiana,Director,Kevin Moody,President,The Moody Company,2017,The Moody Company,2227182
Financial Corporation of Louisiana,Director,Christopher Arsement,Partner,"Arsement,Redd & Morella",2017,Accountant,2227182
Financial Corporation of Louisiana,"Director,","James M. Cunningham,III",,,2017,Attorney,2227182
Financial Corporation of Louisiana,Director,Lawrence J. Prevost,Small Owner,Signal Investment LLC,2017,Banker,2227182
Financial Corporation of Louisiana,Director,Thomas Tucker Johnston,Partner,"MLBJ,LLC",2017,Retired (State of La-Dept. Corrections),2227182
Financial Corporation of Louisiana,"Director,President",Stephen P. Hollier,,,2017,Banker,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Fred J. Gossen Co,2017,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"Henry Gossen,Inc.",2017,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"Gossen and Ware,LLC",2017,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,ALC Real Estate,2017,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG Properties,Inc.",2017,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Gossen Ware Gossen Properties,2017,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Part Owner,"Affiliated Medical Supplies,Inc.",2017,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG,Sr. Partners","Inc.,2017",Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"F. Gossen & A. Gossen,Ltd. Partnership",2017,Real Estate Appraiser,2227182
Financial Corporation of Louisiana,Secretary to the Board,Yvonne D. Menard,Martha Hanks,"Dupuis LLC & M.H.Dupuis Farms,LLC",2017,Banker,2227182
Financial Corporation of Louisiana,Treasurer,Arlene Albarado,,,2018,Banker,
Financial Corporation of Louisiana,Director,William A. Dore',VP Sales,,2018,Investments,
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,LA Irrigation & Mill,2018,Louisiana Irrigation & Mill Co. & First National Farms,
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,1st Nat'l Farms,2018,Louisiana Irrigation & Mill Co. & First National Farms,
Financial Corporation of Louisiana,Director,Greg A. Jones,Vice President,Kalem LLC,2018,Oil & Gas Investments,
Financial Corporation of Louisiana,"Director,Chairman",John Randall Prather,Member,Prather Brothers LLC,2018,Banker,
Financial Corporation of Louisiana,Director,Randall Roach,Secretary,Kimira Properties,2018,Attorney,
Financial Corporation of Louisiana,Director,Kevin Moody,President,The Moody Company,2018,The Moody Company,
Financial Corporation of Louisiana,Director,Christopher Arsement,Partner,"Arsement,Redd & Morella",2018,Accountant,
Financial Corporation of Louisiana,Director,"James M. Cunningham,III",,,2018,Attorney,
Financial Corporation of Louisiana,Director,Lawrence J. Prevost,Small Owner,Signal Investment LLC,2018,Banker,
Financial Corporation of Louisiana,Director,Thomas Tucker Johnston,Partner,"MLBJ,LLC",2018,Retired (State of La-Dept. Corrections),
Financial Corporation of Louisiana,"Director,President",Stephen P. Hollier,,,2018,Banker,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Fred J. Gossen Co,2018,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"Henry Gossen,Inc.",2018,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"Gossen and Ware,LLC",2018,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,ALC Real Estate,2018,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG Properties,Inc.",2018,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Gossen Ware Gossen Properties,2018,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Part Owner,"Affiliated Medical Supplies,Inc.",2018,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG,Sr. Partners","Inc.,2018",Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"F. Gossen & A. Gossen,Ltd. Partnership",2018,Real Estate Appraiser,
Financial Corporation of Louisiana,Secretary,Yvonne D. Menard,,"Martha Hanks Dupuis LLC & M.H.Dupuis Farms,LLC",2018,Banker,
Financial Corporation of Louisiana,Treasurer,Arlene Albarado,,,2021,Banker,
Financial Corporation of Louisiana,"Director,Sr VP & CFO",Arlene Albarado,,,2021,Banker,
Financial Corporation of Louisiana,Treasurer,Eric Movassaghi,,,2021,Banker,
Financial Corporation of Louisiana,EVP & CFO,Eric Movassaghi,,,2021,Banker,
Financial Corporation of Louisiana,Director,William A. Dore',VP Sales,,2021,Investments,
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,Louisiana Irrigation & Mill Co,2021,Louisiana Irrigation & Mill Co. & First National Farms,
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",VP,First National Farms,2021,Louisiana Irrigation & Mill Co. & First National Farms,
Financial Corporation of Louisiana,Director,Greg A. Jones,Vice President,Kalem LLC,2021,Retired; Oil & Gas Investments,
Financial Corporation of Louisiana,"Director,Chairman",John Randall Prather,Member,Prather Brothers LLC,2021,Banker,
Financial Corporation of Louisiana,Director,Randall Roach,Secretary,Kimira Properties,2021,Attorney,
Financial Corporation of Louisiana,Director,Peter M. John,Pres. LA Bag Co.,,2021,LA Bag Company & LAPAC Manufacturing,
Financial Corporation of Louisiana,Director,Peter M. John,VP LAPAC Manuf.,,2021,LA Bag Company & LAPAC Manufacturing,
Financial Corporation of Louisiana,Director,"James M. Cunningham,III",Director,Rayne State Bank,2021,Attorney,
Financial Corporation of Louisiana,Director,Lawrence J. Prevost,,,2021,Banker,
Financial Corporation of Louisiana,"Vice President,CFO",Lawrence J. Prevost,Small Owner,Signal Investment LLC,2021,Banker,
Financial Corporation of Louisiana,Director,Thomas Tucker Johnston,Director,Rayne State Bank,2021,Retired,
Financial Corporation of Louisiana,Director,Thomas Tucker Johnston,Partner,"MLBJ,LLC",2021,Retired,
Financial Corporation of Louisiana,"Director,President",Stephen P. Hollier,Director,Rayne State Bank,2021,Banker,
Financial Corporation of Louisiana,"Director,President",Stephen P. Hollier,President,Rayne State Bank,2021,Banker,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Director,Rayne State Bank,2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Fred J. Gossen Co,2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"Henry Gossen,Inc.",2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"Gossen and Ware,LLC",2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,ALC Real Estate,2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG Properties,Inc.",2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,Gossen Ware Gossen Properties,2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Part Owner,"Affiliated Medical Supplies,Inc.",2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Owner,"FJG,Sr. Partners","Inc.,2021",Real Estate Appraiser,
Financial Corporation of Louisiana,Director,Fred J. Gossen,Partner,"F. Gossen & A. Gossen,Ltd. Partnership",2021,Real Estate Appraiser,
Financial Corporation of Louisiana,Secretary to the Board,Yvonne D. Menard,,"Martha Hanks Dupuis LLC & M.H.Dupuis Farms,LLC",2021,Banker,
Financial Corporation of Louisiana,"Sr. Vice President,Sr. Admin. Officer",Yvonne D. Menard,,"Martha Hanks Dupuis LLC & M.H.Dupuis Farms,LLC",2021,Banker,
Financial Corporation of Louisiana,,Financial Corporation of LA ESOP,,,2021,,
Financial Corporation of Louisiana,Treasurer,Eric Movassaghi,EVP & CFO,First National Bank of LA,2022,Banker,
Financial Corporation of Louisiana,Director,William A. Dore',VP Sales,,2022,Investments,
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,Louisiana Irrigation & Mill Co,2022,Louisiana Irrigation & Mill Co. & First National Farms,
Financial Corporation of Louisiana,Director,"Russell Freeland,Sr.",Pres. & General Manager,1st Nat'l Farms,2022,Louisiana Irrigation & Mill Co. & First National Farms,
Financial Corporation of Louisiana,Director,Greg A. Jones,Vice President,Kalem LLC,2022,Retired; Oil & Gas Investments,
Financial Corporation of Louisiana,"Director,Chairman",John Randall Prather,Member,Prather Brothers LLC,2022,Banker,
Financial Corporation of Louisiana,Director,Randall Roach,Secretary,Kimira Properties,2022,Attorney,
