Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
,Pam M. Parker,,"Dawson,McGinty & Parker-owned by retirement trust",2022,Attorney,"1st Jackson Bancshare,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,,,2022,Retired-Teacher,"1st Jackson Bancshare,Inc.",,5781,5.15%,
,Dawn Sparks,,,2022,,"1st Jackson Bancshare,Inc.",,6780,6.04%,
Chairman/Pres Director Chairman,Jimmy D. Blevins,President Director Chairman,,2023,,"1st Jackson Bancshares,Inc.",,17919,15.96%,
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,JimStan,2023,Groceryman,"1st Jackson Bancshares,Inc.",,12663,11.28%,
Director/ Vice Chairman,Jim Myers,Director/ Vice Chairman,Food Star,2023,Groceryman,"1st Jackson Bancshares,Inc.",,12663,11.28%,
Director/ Secretary,Pam M. Parker,Director/ Secretary,"Dawson,McGinty & Parker firm",2023,Attorney,"1st Jackson Bancshares,Inc.",,6887,6.14%,
,Jami McGinty Kennedy,,,2023,Retired- Teacher,"1st Jackson Bancshares,Inc.",,5781,5.15%,
,Dawn Sparks,,,2023,,"1st Jackson Bancshares,Inc.",,6280,5.59%,
Chairman/Pres Director,Jimmy D. Blevins,President Director Chairman,,2014,,"1st Jackson Bancshares,Inc.",,15461,13.78%,2306993
Director,Shelby Carr,Director,Carr Farm,2014,Farmer,"1st Jackson Bancshares,Inc.",,7398,6.59%,2306993
Director Emeritus,James S. McGinty,,"Dawson,McGinty & Parker firm",2014,Attorney,"1st Jackson Bancshares,Inc.",,13897,12.38%,2306993
Director/Vice Chairman,Jim Myers,Director/Vice Chairman,JimStan,2014,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director/Vice Chairman,Jim Myers,Director/Vice Chairman,Food Star,2014,Groceryman,"1st Jackson Bancshares,Inc.",,11891,10.59%,2306993
Director,Kenneth R. Lehman,Owner/Managing Member,"BVC Capital,LLC",2019,"Owner,BVC Capital","ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,Owner/Managing Member,"BVC Capital,LLC",2019,"Owner,BVC Capital","Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,CCF Holding Company & Heritage Bank,2019,"Owner,BVC Capital","ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,CCF Holding Company & Heritage Bank,2019,"Owner,BVC Capital","Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,Principal Stockholder,Providence Bank,2019,"Owner,BVC Capital","ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,Principal Stockholder,Providence Bank,2019,"Owner,BVC Capital","Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,Heritage Bancorporation & The Heritage Bank,2019,"Owner,BVC Capital","ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,Heritage Bancorporation & The Heritage Bank,2019,"Owner,BVC Capital","Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,Marine Bancorp & Marine Bank & Trust Co.,2019,"Owner,BVC Capital","ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,Marine Bancorp & Marine Bank & Trust Co.,2019,"Owner,BVC Capital","Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,Virginia Partners Bank,2019,"Owner,BVC Capital","ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,Virginia Partners Bank,2019,"Owner,BVC Capital","Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,Village Bank & Trust Financial Corporation,2019,"Owner,BVC Capital","ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,Director & Principal Stockholder,Village Bank & Trust Financial Corporation,2019,"Owner,BVC Capital","Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Kenneth R. Lehman,Director/Managing Member,Delmar Bancorp & The Bank of Delmarva,2019,"Owner,BVC Capital","ABB Financial Group,Inc.",Common,2571250,46.94%,
Director,Kenneth R. Lehman,Director/Managing Member,Delmar Bancorp & The Bank of Delmarva,2019,"Owner,BVC Capital","Marine Bancorp of Florida,Inc.",Common Stock,603707,44.2%,
Director,Shaul Zislin,Owner/COO,"Surf Style,Inc.",2014,Manufacturing/Distributing,"ABH Bancorp,Inc.",,120097,6.491%,3814703
Shareholder,Kenneth R. Lehman,,,2021,Investor,"Affinity Bancshares,Inc.",common shares,759633,11.05%,
Shareholder,Kenneth R. Lehman,,,2021,Investor,"Heritage Southeast Bancorporation,Inc.",Common Stock,3069241,42.28%,
Shareholder,Kenneth R. Lehman,,,2021,Investor,"Marine Bancorp of Florida,Inc.",Common Stock,728285,40.29%,
,Kenneth R. Lehman,Shareholder,,2022,Investor,"Affinity Bancshares,Inc.",common shares,759633,11.50%,
,Kenneth R. Lehman,Shareholder,,2022,Investor,"Marine Bancorp of Florida,Inc",Common Stock,729161,40.13%,
,Kenneth R. Lehman,Shareholder,,2022,Investor,"SmartFinancial,Inc.",Common Stock,1125437,6.66%,
,Kenneth R. Lehman,Shareholder,,2023,Investor,"Affinity Bancshares,Inc.",common,817332,12.74%,
,Kenneth R. Lehman,Shareholder,,2023,Investor,"Marine Bancorp of Florida,Inc",Common Stock,730014,39.92%,
,Kenneth R. Lehman,Shareholder,,2023,Investor,"SmartFinancial,Inc.",Common Stock,1285826,7.6%,
,Kenneth R. Lehman,Shareholder,,2023,Investor,"THE FIRST BANCSHARES,INC.",,1842644,5.92%,
Director,Donald V. Watkins,Owner,"Donald V. Watkins,PC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Owner,First Highland Group,2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Owner,Second Highland Group,2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Owner,"Nabirm Global,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Owner,"W.S. Aviation,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"The Snell Group,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Owner,"Watkins Aviation,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Gibraltar Entertainment International,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,Controlled Environmental Systems Corp.,2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada OxyNol,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada OxyNol US-1,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Pencor-Masada OxyNol,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,Pencor Orange Corp.,2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Watkins Pencor,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"OxyNol,US-1",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"W2E Resources,S.A.",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada Clean Earth Solutions-Asia,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada Clean Earth Solutions-Saudi Arabia,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada-Ecuador International Energy,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"GDA Energy International,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada Clean Earth Solutions-South Korea,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Coberal Energy International,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada Energy International-SL,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada-South Aftica Energy International,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada Oxynol-South Africa Energy International II,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada-Haiti International Energy,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada-Clean Earth Solutions-Zimbabwe,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada-WS International Energy,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,Manager/Member,"Masada-TCJC International Energy,LLC",2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director & President/CEO,Lawrence R. Tate,Director,Alamerica Bank,2016,,"Alamerica BancCorp,Inc.",common,179078,17.91%,3047583
Director & President/CEO,Lawrence R. Tate,President/CEO,Alamerica Bank,2016,,"Alamerica BancCorp,Inc.",common,179078,17.91%,3047583
Shareholder,Clarissa B. Harms,,,2016,Entrepreneur,"Alamerica BancCorp,Inc.",common,115735,11.57%,3047583
Director,Kenneth L. Thomas,Director,Alamerica Bank,2016,Attorney,"Alamerica BancCorp,Inc.",common,120596,12.06%,3047583
Director,Donald V. Watkins,Owner,"Donald V. Watkins,PC",2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,Owner,First Highland Group,2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,Owner,Second Highland Group,2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,Member,"Nabirm Global,LLC",2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,Owner,"W.S. Aviation,LLC",2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,Manager/Member,"The Snell Group,LLC",2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,Owner,"Watkins Aviation,LLC",2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,Manager/Member,"Gibraltar Entertainment International,LLC",2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,Manager/Member,Masada Resource Group and Affiliates,2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director & President/CEO,Lawrence R. Tate,,,2017,,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Shareholder,Clarissa B. Harms,,,2017,Entrepreneur,"Alamerica BancCorp,Inc.",common,115735,11.57%,
Director,Kenneth L. Thomas,,,2017,Attorney,"Alamerica BancCorp,Inc.",common,120596,12.06%,
Director,Donald V. Watkins,,Information Unavailable,2018,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director & President/CEO,Lawrence R. Tate,Director,Alamerica Bank,2018,,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Director & President/CEO,Lawrence R. Tate,President/CEO,Alamerica Bank,2018,,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Shareholder,Clarissa B. Harms,,,2018,Entrepreneur,"Alamerica BancCorp,Inc.",common,115735,11.57%,
Shareholder,Kenneth L. Thomas,,,2018,Attorney,"Alamerica BancCorp,Inc.",common,120496,12.05%,
Shareholder,Donald V. Watkins,,,2020,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
"Shareholder,Director",Lawrence R. Tate,,Alamerica Bank,2020,,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Shareholder,Clarissa B. Harms,,,2020,Entrepreneur,"Alamerica BancCorp,Inc.",common,115735,11.57%,
Shareholder,Kenneth L. Thomas,Chief Legal Counsel,AL State University,2020,,"Alamerica BancCorp,Inc.",common,120496,12.05%,
Shareholder,Donald V. Watkins,,Information Unavailable,12/31/2021,Entrepreneur,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Shareholder,Lawrence R. Tate,,,12/31/2021,Retired,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Shareholder,Clarissa B. Harms,,,12/31/2021,Entrepreneur,"Alamerica BancCorp,Inc.",common,115735,11.57%,
Shareholder,Kenneth L. Thomas,Chief Legal Counsel,AL State University,12/31/2021,,"Alamerica BancCorp,Inc.",common,120496,12.05%,
Chairman of the Board and Vice President of Strategic and Capital Planning,Robert F. Hatcher,Chairman of the Board,"Pioneer Financial Services,Inc.",2017,,MidCountry Financial Corp.,,344288,,3839902
Chairman of the Board and Vice President of Strategic and Capital Planning,Robert F. Hatcher,Managing Member,H2 Transportation LLC,2017,,MidCountry Financial Corp.,,344288,,3839902
Chairman of the Board and Vice President of Strategic and Capital Planning,Robert F. Hatcher,Owner/Member,H2 Company,2017,,MidCountry Financial Corp.,,344288,,3839902
Director,Mae Jones,Farm Owner,Jones Farms,2014,Farm Owner,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,
Director/Randall,Betty Morris or Randall Morris & Austin Morris Family Trust,Part owner,Morris Enterprises,2014,Farm Owner/Randall,"Altamaha Bancshares,Inc.",Common Stock,10305,7.7%,
Director/Randall,Betty Morris or Randall Morris & Austin Morris Family Trust,Limited Partner,"Austin Morris,LLP",2014,Farm Owner/Randall,"Altamaha Bancshares,Inc.",Common Stock,10305,7.7%,
Director/Randall,Betty Morris or Randall Morris & Austin Morris Family Trust,Part owner,Milligan Creek Cattle,2014,Farm Owner/Randall,"Altamaha Bancshares,Inc.",Common Stock,10305,7.7%,
Director/ Chairman,W Colon Sammons,,,2014,Tree Farming,"Altamaha Bancshares,Inc.",Common Stock,8835,6.4%,
Director,Mae Jones,President,Jones Farms,2015,Farm Owner,"ALTAMAHA BANCSHARES,INC.",Common Stock,30602,22.8%,1081510
Director/Susan,Susan Saller Shook,Owner/Susan,"Susan Shook,PC",2015,Lawyer,"ALTAMAHA BANCSHARES,INC.",Common Stock,13255,9.9%,1081510
Director Chairman/W.Colon President CEO/Director,W Colon Sammons,,,2015,Tree Farming,"ALTAMAHA BANCSHARES,INC.",Common Stock,9635,7.17%,1081510
Director,Mae Jones,President,Jones Farms,2016,Farm Owner,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,
Director/Susan,Susan Salter Shook,Owner,"Susan Shook,PC",2016,Lawyer,"Altamaha Bancshares,Inc.",Common Stock,13595,10.12%,
Director/Susan,Susan Salter Shook,,"Salter,Shook & Tippett",2016,Lawyer,"Altamaha Bancshares,Inc.",Common Stock,13595,10.12%,
Director/ Chairman,W Colon Sammons,,,2016,Tree Farming,"Altamaha Bancshares,Inc.",Common Stock,9925,7.39%,
President,W Colon Sammons,,,2016,Tree Farming,"Altamaha Bancshares,Inc.",Common Stock,9925,7.39%,
Director,W Colon Sammons,,,2016,Tree Farming,"Altamaha Bancshares,Inc.",Common Stock,9925,7.39%,
Director,Mae Jones,President,Jones Farms,2017,Farm Owner,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,1081510
Director,Mae Jones,President,Jones Farms,2018,Farm Owner,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,
Director/Susan,Susan Salter Shook,Owner,"Susan Shook,PC",2018,Lawyer,"Altamaha Bancshares,Inc.",Common Stock,13595,10.1%,
Director,Mae Jones,President,Jones Farms,2019,Farm Owner,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,
Director/Susan,Betty Salter,Owner/Susan,"Susan Shook,PC",2019,Lawyer,"Altamaha Bancshares,Inc.",Common Stock,13595,10.1%,
Director Vice Chairman CEO,Robin Cummings,Director CEO,,2014,Banking,"Altrust Financial Services,Inc",Common Stock,256023,5.45%,1136595
Director,Timothy Dudley Walker,Director,Walker Bros LTD,2014,Building Supply Real Estate,"Altrust Financial Services,Inc",Common Stock,247960,5.28%,1136595
Director,Timothy Dudley Walker,Director,Walker Servicing Corp,2014,Building Supply Real Estate,"Altrust Financial Services,Inc",Common Stock,247960,5.28%,1136595
Director,Timothy Dudley Walker,Director,Walker Mortgages LTD,2014,Building Supply Real Estate,"Altrust Financial Services,Inc",Common Stock,247960,5.28%,1136595
Director,Timothy Dudley Walker,Director,Gunters Landing LTD,2014,Building Supply Real Estate,"Altrust Financial Services,Inc",Common Stock,247960,5.28%,1136595
Director,Timothy Dudley Walker,Director,Walker Bros. LTD,2019,Building Supply Real Estate Construction,"Altrust Financial Services,Inc.",Common Stock,271412,5.59%,
Director,Timothy Dudley Walker,Director,Walker Servicing Corp,2019,Building Supply Real Estate Construction,"Altrust Financial Services,Inc.",Common Stock,271412,5.59%,
Director,Timothy Dudley Walker,Director,Walker Mortgages LTD,2019,Building Supply Real Estate Construction,"Altrust Financial Services,Inc.",Common Stock,271412,5.59%,
Director,Timothy Dudley Walker,Director,Gunters Landing LTD,2019,Building Supply Real Estate Construction,"Altrust Financial Services,Inc.",Common Stock,271412,5.59%,
Director,Timothy Dudley Walker,Director,Walker Bros. LTD,2020,Building Supply Real Estate Construction,"Altrust Financial Services,Inc.",Common Stock,284648,5.82%,
Director,Timothy Dudley Walker,Director,Walker Servicing Corp,2020,Building Supply Real Estate Construction,"Altrust Financial Services,Inc.",Common Stock,284648,5.82%,
Director,Timothy Dudley Walker,Director,Walker Mortgages LTD,2020,Building Supply Real Estate Construction,"Altrust Financial Services,Inc.",Common Stock,284648,5.82%,
,"Altrust Financial Services,Inc.",,,2022,,"Altrust Financial Services,Inc.",Common Stock,1200648,24.271%,
"Director,CEO & President",Ronald J. Lashute,,,2015,President & CEO of American Bank & Trust Company,"American Bancorp,Inc.",Common Stock,17755,22.67%,1085349
CEO & President,Ronald J. Lashute,,,2016,,"American Bancorp,Inc.",Common Stock,17821,22.84%,1085349
President & CEO,Ronald J. Lashute,,,2020,,"American Bancorp,Inc.",Common Stock,17821,22.84%,
President & CEO,Ronald J. Lashute,President & CEO of American Bank & Trust Company,,2023,,"American Bancorp,Inc.",Common Stock,17821,23.71%,
Director & Chairman,Michael Gilstrap,Director & Chairman,,2020,Retired,"American Bancorp,Inc.",,10000,0.5%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,Premier Hotel Group,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,"Elite Hotel Management,LLC",2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,DRAP Douglas LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,FOCUS HOSPITALITY LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,Sneha Inc,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,Kirti Enterprises,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,Ajit Hospitality Inc.,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,HARP Lodging LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,DRAP Lodging LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,PAR 2 LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,DRAP Airport LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,Park Hotels LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,DRAP Sugarloaf LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,Director & Vice Chairman,KAP Helen LLC,2020,Hotel Owner,"American Bancorp,Inc.",,51666,2.4%,
Director,Bhagu Patel,Director,"TJJ Investments,LLC",2020,Hotel Owner,"American Bancorp,Inc.",,75000,3.1%,
Director,Dipesh Patel,Director,N&D Development LLC,2020,Doctor,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,Director,Suhani Development LLC,2020,Doctor,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,Director,1008 Sheraton LLC,2020,Doctor,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,Director,Denap 2014 LLC,2020,Doctor,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,Director,Albany Crossing 2014 LLC,2020,Doctor,"American Bancorp,Inc.",,41000,2.0%,
Director,Maneklal Patel,Director,Ganesh Corp/Days Inn,2020,Hotel Owner,"American Bancorp,Inc.",,52500,2.4%,
Director,Maneklal Patel,Director,MABAP Inc.,2020,Hotel Owner,"American Bancorp,Inc.",,52500,2.4%,
Director,Maneklal Patel,Director,Triangle Hospitality,2020,Hotel Owner,"American Bancorp,Inc.",,52500,2.4%,
Director,Rasikbhai Patel,Director,"Deesha Enterprises,Inc.",2020,Hotel Owner,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,Director,"Heidi Enterprises,Inc.",2020,Hotel Owner,"American Bancorp,Inc.",,54167,2.5%,
