Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,RSSD_ID
"UNITED COMMUNITY BANKS,INC.",Executive Vice-President & CFO,Rex Schuette,,,2015,,
"UNITED COMMUNITY BANKS,INC.",Executive Vice President & Chief Credit Officer,Robert A. Edwards,,,2015,Executive Vice President & Chief Credit Officer,
"UNITED COMMUNITY BANKS,INC.",General Counsel & Chief Risk Officer,Bradley J. Miller,,,2015,General Counsel & Chief Risk Officer,
"UNITED COMMUNITY BANKS,INC.",Director\nAudit Committee - Member\nNominating/Corporate Governance Committee - Member\nUnited Community Bank (Charter) - Director\nAudit Committee (Charter) - Member\nNominating/Corporate Governance Committee (Charter) - Member,Robert H. Blalock,,Blalock Insurance Agency,2019,President,
"UNITED COMMUNITY BANKS,INC.",Chief Banking Officer\nChief Banking Officer,Richard W. Bradshaw,,,2019,,
"UNITED COMMUNITY BANKS,INC.",Director\nNominating/Corporate Governance Committee - Chair\nExecutive Committee Member\nRisk Committee - Member\nUnited Community Bank (Charter) - Director\nNominating/Corporate Governance Committee (Charter) - Chair\nRisk Committee (Charter) - Member\nExecutive Committee (Charter) - Member,L. Cathy Cox,Dean - School of Law,Mercer University,2019,,
"UNITED COMMUNITY BANKS,INC.",Director\nRisk Committee - Chairman\nTalent & Compensation Committee - Member\nAudit Committee - Member\nExecutive Committee - Member\nUnited Community Bank (Charter) - Director\nRisk Committee (Charter) - Chairman\nAudit Committee (Charter) - Member\nExecutive Committee (Charter) - Member\nTalent & Compensation Committee (Charter) - Member,Kenneth L. Daniels,,,2019,Retired,
"UNITED COMMUNITY BANKS,INC.",Director\nTalent & Compensation Committee - Member\nNominating/Corporate Governance Committee - Member\nRisk Committee - Member\nExecutive Committee - Member,Lance F. Drummond,Independent Director,Freddie Mac,2019,,
"UNITED COMMUNITY BANKS,INC.",Executive Vice President & Chief Risk Officer\nExecutive Vice President & Chief Risk Officer,Robert A. Edwards,,,2019,,
"UNITED COMMUNITY BANKS,INC.",Executive Vice President & Chief Financial Officer\nExecutive Vice President & Chief Financial Officer,Jefferson L. Harralson,,,2019,,
"UNITED COMMUNITY BANKS,INC.","President & Chief Executive Officer/Director\nPresident & Chief Executive Officer,Chairman","Director,H. Lynn Harton",Board Chair,The Peace Center,2019,,
"UNITED COMMUNITY BANKS,INC.",Director\nTalent & Compensation Committee - Chair\nUnited Community Bank (Charter) - Director,Jennifer K. Mann,"EVP,Chief HR Officer",SAS Institute,2019,,
"UNITED COMMUNITY BANKS,INC.","Executive Vice President,General Counsel & Corporate Secretary\nExecutive Vice President","General Counsel & Corporate Secretary,Bradley J. Miller",,,2019,,
"UNITED COMMUNITY BANKS,INC.",Lead Director\nAudit Committee - Member\nExecutive Committee Member\nRisk Committee - Member\nNominating/Corporate Governance Committee - Member\nUnited Community Bank (Charter) - Lead Director,Thomas A. Richlovsky,Trustee,PM Foundation Inc dba Urban Community School,2019,Retired,
"UNITED COMMUNITY BANKS,INC.",Director\nAudit Committee - Chair\nTalent & Compensation Committee Member,David C. Shaver,Chief Executive Officer,"Cost Segregation Advisors,LLC",2019,CEO,
"UNITED COMMUNITY BANKS,INC.","Executive Vice President. Chief Information Officer\nExecutive Vice President,Chief Information Officer",Mark A. Terry,,,2019,,
"UNITED COMMUNITY BANKS,INC.",Director\nTalent & Compensation Committee - Member\nUnited Community Bank (Charter) - Director,Tim R. Wallis,"Chief Executive Officer,President","CEO & Owner,Wallis Printing",2019,,
"UNITED COMMUNITY BANKS,INC.",Director\nRisk Committee - Member\nUnited Community Bank (Charter) - Director,David H. Wilkins,Attorney & Partner,"Nelson,Mullins","Riley & Scarborough LLC,2019",,
"UNITED COMMUNITY BANKS,INC.",Director,Jennifer M. Bazante,,,2021,Chief Banking Officer,
"UNITED COMMUNITY BANKS,INC.","President,Chief Banking Officer",Jennifer M. Bazante,,"TFG Holdings,LLC",2021,Chief Banking Officer,
"UNITED COMMUNITY BANKS,INC.","VP,Director",Jennifer M. Bazante,,"Better Government Committee of United Community Banks,Inc.",2021,Chief Banking Officer,
"UNITED COMMUNITY BANKS,INC.","VP,Director",Jennifer M. Bazante,,"Broadstreet Title,LLC",2021,Chief Banking Officer,
"UNITED COMMUNITY BANKS,INC.",Director,Robert H. Blalock,,,2021,"President & CEO,Clemson University",
"UNITED COMMUNITY BANKS,INC.",Director,Richard W. Bradshaw,Freddie Mac Independent Director,Freddie Mac,2021,Retired,
"UNITED COMMUNITY BANKS,INC.",Director,Richard W. Bradshaw,Finra - Public Governor,Finra,2021,Retired,
"UNITED COMMUNITY BANKS,INC.",Director,Richard W. Bradshaw,Trustee,University of Rochester,2021,Retired,
"UNITED COMMUNITY BANKS,INC.",Executive Vice President & Chief Risk Officer,Kenneth L. Daniels,,,2021,,1017939
"UNITED COMMUNITY BANKS,INC.",EVP & Chief Risk Officer,Lance F. Drummond,AvidXchange - Independent Director,AvidXchange,2021,,
"UNITED COMMUNITY BANKS,INC.",EVP & Chief Risk Officer,Lance F. Drummond,,National Association of Corporate Directors,2021,,
"UNITED COMMUNITY BANKS,INC.",Executive Vice President & Chief Financial Officer,Robert A. Edwards,,,2021,,
"UNITED COMMUNITY BANKS,INC.",Director,Jefferson L. Harralson,,,2021,,
"UNITED COMMUNITY BANKS,INC.","CEO,Chairman","Director,H. Lynn Harton",,,2021,,1017939
"UNITED COMMUNITY BANKS,INC.",Director,Melinda Davis Lux,,,2021,,
"UNITED COMMUNITY BANKS,INC.",Director,Jennifer K. Mann,,,2021,"EVP,Chief HR Officer","SAS Institute,n/a"
"UNITED COMMUNITY BANKS,INC.",Lead Director,Thomas A. Richlovsky,,,2021,Retired,
"UNITED COMMUNITY BANKS,INC.",Director,David C. Shaver,,,2021,"CEO,Cost Segregation Advisors","LLC,n/a"
"UNITED COMMUNITY BANKS,INC.","Executive Vice President,Chief Information Officer",Mark A. Terry,,,2021,,
"UNITED COMMUNITY BANKS,INC.",Director,Tim R. Wallis,,,2021,"Chief Executive Officer,President",CEO & Owner
"UNITED COMMUNITY BANKS,INC.",Director,Tim R. Wallis,,Georgia Chamber of Commerce,2021,"Chief Executive Officer,President",CEO & Owner
"UNITED COMMUNITY BANKS,INC.",Director,David H. Wilkins,,,2021,"Attorney & Partner,Nelson",Mullins
"UNITED SECURITY BANCSHARES,INC.",Director,Linda H. Breedlove,,"The South Alabamian,Inc.",2014,Retired (Breedlove Office Supplies)Part time writer/proofer,1086168
"UNITED SECURITY BANCSHARES,INC.",Director,Robert Stephen Briggs,President and CEO,"Petra Life Services,Inc.",2014,President and CEO,1086168
"UNITED SECURITY BANCSHARES,INC.",Director,Sheri S. Cook,Partner,"Kinetic Properties,LLC",2014,"Senior VP,Human Resources - Altec","Inc.,1086168"
"UNITED SECURITY BANCSHARES,INC.",Director,Gerald P. Corgill,President,"Dozier Hardware Co.,Inc.",2014,"President-Dozier Hardware Co.,Inc.",1086168
"UNITED SECURITY BANCSHARES,INC.",Vice Chairman/Director,John C. Gordon,,"Forest Services,Inc.",2014,Investment/Land Management,1086168
"UNITED SECURITY BANCSHARES,INC.",Vice Chairman/Director,John C. Gordon,,"SS & J Land Co.,Inc.",2014,Investment/Land Management,1086168
"UNITED SECURITY BANCSHARES,INC.",Director,William G. Harrison,,Linden Lumber Company,2014,RetiredFormer Timber Settlements/Records Manager,1086168
"UNITED SECURITY BANCSHARES,INC.",President and CEO,James F. House,,,2014,President and Chief Executive Officerof United Security Bancshares,Inc.
"UNITED SECURITY BANCSHARES,INC.",Director,John Lee McPhearson,,,2014,Attorney at Law,1086168
"UNITED SECURITY BANCSHARES,INC.",Director,Jack W. Meigs,Presiding Judge,"4th Judicial Circuit,Alabama",2014,Presiding Judge,1086168
"UNITED SECURITY BANCSHARES,INC.",Director,Aubrey S. Miller,,Juvenile Diabetes Research Foundation,2014,Executive Director-AL Chapter of JuvenileDiabetes Research Foundation,Birmigham;
"UNITED SECURITY BANCSHARES,INC.",Director,Donna D. Smith,,Alabama Power Company,2014,Retired,1086168
"UNITED SECURITY BANCSHARES,INC.",Director,"A. J. Strickland,III",,,2014,Professor of Strategic Management in theGraduate School of Business at theUniversity of Alabama,1086168
"UNITED SECURITY BANCSHARES,INC.",Director,Howard M. Whitted,,Whitted Family Holdings,2014,Retired (Weyerhaeuser)Forester ConsultantForester and Manager,1086168
"UNITED SECURITY BANCSHARES,INC.",Director,Bruce N. Wilson,,Wilson & Drinkard,2014,Attorney/Senior Partner-,1086168
"UNITED SECURITY BANCSHARES,INC.",VP/Secretary/Assistant Treasurer,Beverly J. Dozier,,,2014,"Senior Vice-President,Executive Administration",
"UNITED SECURITY BANCSHARES,INC.",VP/ Treasurer / Asst Secretary,Thomas S. Elley,,,2014,"Executive Vice-President,CFO",and
"UNITED SECURITY BANCSHARES,INC.",Investment Officer,"J Daniel Matheson,III",,"R2Metrics,Inc.",2014,"President and CEO,R2Metrics",Inc.
"UNITED SECURITY BANCSHARES,INC.",Investment Officer,"J Daniel Matheson,III",,Synovus Securities,2014,"President and CEO,R2Metrics",Inc.
"UNITED SECURITY BANCSHARES,INC.",Executive Officer,Anthony G. Cashio,,,2014,"Executive Vice President,Credit Division",
"UNITED SECURITY BANCSHARES,INC.",Executive Officer,William C. Mitchell,,,2014,President and Chief Executive Officerof Acceptance Loan Company,"Inc.,1086168"
FIRST US BANK,Chairman/Director,"Andrew C. Bearden,Jr.",Chairman/Director,FUSB,2015,"Certified Public Accountant at Andrew C. Bearden,Jr. CPA",
FIRST US BANK,Chairman/Director,"Andrew C. Bearden,Jr.",,BEACO Consulting LLC,2015,"Certified Public Accountant at Andrew C. Bearden,Jr. CPA",
FIRST US BANK,Director,Linda H. Breedlove,"President,Director","FUSB Reinsurance,Inc.",2015,Retired (Breedlove Office Supplies),
FIRST US BANK,Director,Linda H. Breedlove,Vice Chairperson,ALC,2015,Retired (Breedlove Office Supplies),
FIRST US BANK,Director,Robert Stephen Briggs,,"Petra Life Services,Inc.",2015,"President and CEO - Petra Life Services,Inc.",
FIRST US BANK,Director,Robert Stephen Briggs,,Longevity Quest,2015,"President and CEO - Petra Life Services,Inc.",
FIRST US BANK,Director,Sheri S. Cook,,"Altec,Inc.",2015,"Senior VP,Human Resources - Altec","Inc.,n/a"
FIRST US BANK,Director,Sheri S. Cook,,"Kinetic Properties,LLC",2015,"Senior VP,Human Resources - Altec","Inc.,n/a"
FIRST US BANK,Director,Gerald P. Corgill,,"Dozier Hardware Co.,Inc.",2015,"President-Dozier Hardware Co.,Inc.",
FIRST US BANK,Vice Chairman/Director,John C. Gordon,,"Forest Services,Inc.",2015,Investment/Land Management,
FIRST US BANK,Vice Chairman/Director,John C. Gordon,,"SS & J Land Co.,Inc.",2015,Investment/Land Management,
FIRST US BANK,Director,William G. Harrison,Chairman of,"FUSB Reinsurance,Inc.",2015,Retired,
FIRST US BANK,Director,William G. Harrison,,ALC,2015,Retired,
FIRST US BANK,President and CEO,James F. House,,,2015,"President and Chief Executive Officer of United Security Bancshares,Inc. and First US Bank",
FIRST US BANK,Director,John Lee McPhearson,,,2015,Attorney at Law,
FIRST US BANK,Director,Jack W. Meigs,,"FUSB Reinsurance,Inc.",2015,Presiding Judge,
FIRST US BANK,Director,Aubrey S. Miller,,Shelby Co AL Board of Education,2015,President-Shelby Co. AL Board of Education,
FIRST US BANK,Director,Donna D. Smith,,AL Power Company,2015,Retired,
FIRST US BANK,Director,"A. J. Strickland,III",,,2015,Professor of Strategic Management in the Graduate School of Business at the University of Alabama,
FIRST US BANK,Director,Howard M. Whitted,,,2015,Retired (Weyerhaeuser),
FIRST US BANK,Director,Howard M. Whitted,,"Whitted Motor Co.,Inc.",2015,Retired (Weyerhaeuser),
FIRST US BANK,Director,Bruce N. Wilson,,,2015,Attorney/Senior Partner-Wilson & Drinkard,
FIRST US BANK,VP/Secretary/Assistant Treasurer,Beverly J. Dozier,,,2015,"Senior Vice-President,Executive Administration","and Corporate Secretary / Assistant Treasurer of FUSB,n/a"
FIRST US BANK,Ex. VP/CFO/Treas./Asst Sec,Thomas S. Elley,,,2015,"Executive Vice-President,CFO","and Corporate Treasurer / Assistant Secretary of FUSB,n/a"
FIRST US BANK,Executive Officer,Anthony G. Cashio,,,2015,"Executive Vice President,Credit Division","Chief Credit Officer of FUSB,n/a"
FIRST US BANK,Executive Officer,William C. Mitchell,,,2015,"President and Chief Executive Officer of Acceptance Loan Company,Inc.",
UNITED TENNESSEE BANKSHARES,"DIRECTOR,CHAIRMAN",J. WILLIAM MYERS,OWNER,"J. WILLIAM MYERS,ATTORNEY",2016,ATTORNEY,
UNITED TENNESSEE BANKSHARES,DIRECTOR,TOMMY C BIBLE,GENERAL MANAGER,JEFFERSON COCKE GAS UTILITY,2016,GENERAL MANAGER,
UNITED TENNESSEE BANKSHARES,DIRECTOR,BEN HOOPER III,ATTORNEY,CAMPBELL & HOOPER,2016,ATTORNEY,
UNITED TENNESSEE BANKSHARES,DIRECTOR,TOM INMAN,MANAGER,FARM BUREAU - NEWPORT,2016,MANAGER,
UNITED TENNESSEE BANKSHARES,DIRECTOR,ROBERT OVERHOLT,,,2016,,
UNITED TENNESSEE BANKSHARES,DIRECTOR,RICHARD HARWOOD,,,2016,,
UNITED TENNESSEE BANKSHARES,DIRECTOR,MITCHELL WEBB,OWNER,WILTON SPRINGS HARDWARE,2016,OWNER,
UNITED TENNESSEE BANKSHARES,DIRECTOR EMERITUS,WILLIAM HENRY,,,2016,,
UNITED TENNESSEE BANKSHARES,"DIRECTOR,PRESIDENT/CEO",CHRIS TRIPLETT,,,2016,,
UNITED TENNESSEE BANKSHARES,VICE PRESIDENT,LONNIE JONES,,,2016,,
UNITED TENNESSEE BANKSHARES,VICE PRESIDENT,PEGGY HOLSON,,,2016,,
UNITED TENNESSEE BANKSHARES,,CEDE & CO.,,,2016,CLEARING HOUSE,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR CHAIRMAN,J. WILLIAM MYERS,ATTORNEY,"J. WILLIAM MYERS,ATTORNEY",2019,ATTORNEY,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR,TOMMY C BIBLE,GENERAL MANAGER,JEFFERSON COCKE GAS UTILITY,2019,GENERAL MANAGER,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR,BEN HOOPER III,ATTORNEY,CAMPBELL & HOOPER,2019,ATTORNEY,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR,TOM INMAN,MANAGER,FARM BUREAU - NEWPORT,2019,MANAGER,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR,ROBERT OVERHOLT,,,2019,,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR,RICHARD HARWOOD,,,2019,,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR,MITCHELL WEBB,OWNER,WILTON SPRINGS HARDWARE,2019,OWNER,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR,CYNTHIA STINNETT,OWNER,STINNETT AUTOMOTIVE,2019,OWNER,
"UNITED TENNESSEE BANKSHARES,INC.",DIRECTOR PRESIDENT/CEO,CHRIS TRIPLETT,,,2019,,
"UNITED TENNESSEE BANKSHARES,INC.",SENIOR VICE PRESIDENT,LONNIE JONES,,,2019,,
"UNITED TENNESSEE BANKSHARES,INC.",SENIOR VICE PRESIDENT,THOMAS RUSH,,,2019,,
"UNITED TENNESSEE BANKSHARES,INC.",,CEDE & CO.,,,2019,CLEARING HOUSE SHARES HELD IN STREET NAME,
AmeriFirst Bank,Chairman of the Board,"Alfred F. Cook,Jr.",Owner,ALBICAMCO,2014,Economic Development Consulting,
Main Drug Store,Vice Chairman of the Board,John T. Main,Pharmacist,Main Drug Store,2014,Pharmacist,
"Beck's Turf,Inc.",Director,James L. Bassett,Director,"Beck's Turf,Inc.",2014,Sod Farm,
Gibson's Home Center,Director,Rebecca D. Gibson,Officer,Gibson's Home Center,2014,Home & Officer Furnishings,
Plant Farm Business,Director,"Joe M. Varner,Jr.",Director,Bonnie Plant Farm Business,2014,Agribusiness,
Alabama Steel Supply,Director,Jerald Labovitz,Owner,Alabama Steel Supply,2014,Steel Company,
Dubose Construction,Director,Flynn R. Dubose,Owner,Dubose Construction,2014,Construction,
"USAL Bancorp,Inc.",Chairman of the Board,"Alfred F. Cook,Jr.",Chairman of the Board,ALBICAMCO,2015,Economic Development Consulting,
"USAL Bancorp,Inc.",Vice Chairman of the Board,John T. Main,Main Drug Store Owner,Main Drug Store,2015,Pharmacist,
"USAL Bancorp,Inc.",Director,James L. Bassett,Director,"Beck's Turf,Inc.",2015,Sod Farm,
"USAL Bancorp,Inc.",Director,Rebecca D. Gibson,Director,Gibson's Home Center,2015,Home & Officer Furnishings,
"USAL Bancorp,Inc.",Director,Greg A. Smoker,Director,,2015,Grocer,
"USAL Bancorp,Inc.",Director,"Joe M. Varner,Jr.",Director,Bonnie Plant Farm Business,2015,Agribusiness,
"USAL Bancorp,Inc.",Director,Jerald Labovitz,Director,Alabama Steel Supply,2015,Steel Company,
"USAL Bancorp,Inc.",Director,Flynn R. Dubose,Owner,Dubose Construction,2015,Construction,
"USAL Bancorp,Inc.",Director/President,Robert R. Ramsey,Director/President,,2015,,
"USAL Bancorp,Inc.",,Tony Gibson,,,2015,,
"USAL Bancorp,Inc.",EVP & Secretary,Marsha S. Moffett,,,2015,,
"USAL Bancorp,Inc.",Chairman of the Board,"Alfred F. Cook,Jr.",Chairman of the Board,ALBICAMCO,2017,Economic Development Consulting,1391331
"USAL Bancorp,Inc.",Director,John T. Main,,Main Drug Store,2017,Pharmacist,1391331
"USAL Bancorp,Inc.",Director,James L. Bassett,,"Beck's Turf,Inc.",2017,Sod Farm,1391331
"USAL Bancorp,Inc.",Director,Greg A. Smoker,,,2017,Commercial R/E Investment,1391331
"USAL Bancorp,Inc.",Vice Chairman/Director,"Joe M. Varner,Jr.",,Bonnie Plants,2017,Agribusiness,1391331
"USAL Bancorp,Inc.",Director,Jerald Labovitz,,Alabama Steel Supply,2017,Steel Company,1391331
"USAL Bancorp,Inc.",Director,Flynn R. Dubose,,Dubose Construction,2017,Construction,1391331
"USAL Bancorp,Inc.",Director/President & CEO,Robert R. Ramsey,,,2017,,1391331
"USAL Bancorp,Inc.",Director,Addie M. Smith,,,2017,Accountant,1391331
"USAL Bancorp,Inc.",,WT Tony Gibson,,,2017,,1391331
"USAL Bancorp,Inc.",EVP/Secretary,Marsha S. Moffett,,,2017,,1391331
"USAL Bancorp,Inc.",Chairman of the Board,"Alfred F. Cook,Jr.",Owner,ALBICAMCO,2018,Economic Development Consulting,
"USAL Bancorp,Inc.",Chairman of the Board,"Alfred F. Cook,Jr.",,ALBICAMCO,2018,Economic Development Consulting,
"USAL Bancorp,Inc.",Director,John T. Main,Owner,Main Drug Store,2018,Pharmacist,
"USAL Bancorp,Inc.",Director,James L. Bassett,Owner,"Beck's Turf,Inc.",2018,Sod Farm,
"USAL Bancorp,Inc.",Director,Greg A. Smoker,,,2018,Commercial R/E Investment,
"USAL Bancorp,Inc.",Vice Chairman/Director,"Joe M. Varner,Jr.",Owner,Plant Farm Business,2018,Agribusiness,
"USAL Bancorp,Inc.",Vice Chairman/Director,"Joe M. Varner,Jr.",,Bonnie Plants,2018,Agribusiness,
"USAL Bancorp,Inc.",Director,Jerald Labovitz,Owner,Alabama Steel Supply,2018,Steel Company,
"USAL Bancorp,Inc.",Director,Flynn R. Dubose,Owner,Dubose Construction,2018,Construction,
"USAL Bancorp,Inc.",Director/President and CEO,Robert R. Ramsey,,,2018,,
"USAL Bancorp,Inc.",Director,Addie M. Smith,,,2018,Accountant,
"USAL Bancorp,Inc.",Director,"Emory Kyle Kyser,Jr.",VP,4K Properties. LLC,2018,Real Estate,
"USAL Bancorp,Inc.",Director,"Emory Kyle Kyser,Jr.",VP,"2K Investments,LLC",2018,Real Estate,
"USAL Bancorp,Inc.",,WT Tony Gibson,,,2018,,
"USAL Bancorp,Inc.",EVP/CFO/Secretary,Marsha S. Moffett,,,2018,,
AMERIFIRST BANK,Director Emeritus,"Alfred F. Cook,Jr.",Director Emeritus,ALBICAMCO,2023,Economic Development Consulting,
AMERIFIRST BANK,Director,John T. Main,Main Drug Store Owner,,2023,Pharmacist,
AMERIFIRST BANK,Chairman of the Board,James L. Bassett,Chairman of the Board,"Beck's Turf,Inc.",2023,Sod Farm,
AMERIFIRST BANK,Director,Greg A. Smoker,Director,,2023,Commercial R/E Investment,
AMERIFIRST BANK,Director,Jerald Labovitz,Director,Alabama Steel Supply,2023,Steel Company,
"USAL BANCORP,INC.",Director/President and CEO,Robert R. Ramsey,Director/President,,2023,,
"USAL BANCORP,INC.",Vice-Chairman of the Board,Addie M. Smith,Vice-Chairman of the Board,,2023,Accountant,
"USAL BANCORP,INC.",Director,Laura D. Grill,Director,,2023,President/CEO EAMC,
"USAL BANCORP,INC.",Director,"Emory Kyle Kyser,Jr.",Director,"Kyser Property Management Co.,Inc.",2023,Real Estate,
"USAL BANCORP,INC.",Director,Christopher G. Campbell,Director,Campbell Companies,2023,Investments,
"USAL BANCORP,INC.",EVP/Secretary,Marsha S. Moffett,EVP/CFO/Secretary,BrenMar Plantation,2023,,
"USAL BANCORP,INC.",Principal Shareholder,"WT Tony Gibson,Jr.",Principal Shareholder,Gibson Home Center,2023,Business Owner,
"USAmeriBancorp,Inc.",Director,George P. Bauer,Investor,GPB Group LTD,2015,,
"USAmeriBancorp,Inc.",Director,George P. Bauer,Investor,Marco Island GP LLC,2015,,
"USAmeriBancorp,Inc.",Director,George P. Bauer,Investor,Wilton Land Co.,2015,,
"USAmeriBancorp,Inc.",Director,George P. Bauer,Investor,Triad Health Services LLC,2015,,
"USAmeriBancorp,Inc.",Director,George P. Bauer,Investor,"Coastal Concrete Prod,LLC",2015,,
"USAmeriBancorp,Inc.",Director,George P. Bauer,Investor,Labor For Hire,2015,,
"USAmeriBancorp,Inc.",Director,George P. Bauer,Investor,Dynamic Solutions Group,2015,,
"USAmeriBancorp,Inc.",Director,John P. Connelly,Insurance,Hub International Florida,2015,Realtor,
"USAmeriBancorp,Inc.","President & CEO,Director",Joseph V. Chillura,President,Klein & Heuchan Realtors,2015,,
"USAmeriBancorp,Inc.","Managing Director,Director",Mark S. Klein,Realtor,,2015,,
"USAmeriBancorp,Inc.",Director,"Thomas B. McMurtrey,III",Managing Director,,2015,,
"USAmeriBancorp,Inc.",Director,Harrison I. Steans,Investor,Financial Investments Corporation,2015,,
"USAmeriBancorp,Inc.","Chairman,Director",Jennifer W. Steans,Investor,Financial Investments Corporation,2015,,
"USAmeriBancorp,Inc.",,James P. Kastenholz,Investor,Total Home LLC,2015,Investor,
"USAmeriBancorp,Inc.",,"Jennifer Steans,Custodian for Nicholas J. Kastenholz",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Jennifer W. Steans 1999 Descendants Trust,Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,"James P. Kastenholz,Trustee",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Heather A. Steans,Investor,Financial Investments Corporation,2015,Investor,
"USAmeriBancorp,Inc.",,Leo Smith,Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,"Heather Steans,Custodian for Ryan F. Smith",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,"Heather Steans,Custodian for Samuel H. Smith",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,"Heather Steans,Custodian for Abigail J. Smith",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Heather A. Steans 1999 Descendants Trust,Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Leo Smith - Trustee,Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Robin M. Steans,Investor,Financial Investments Corporation,2015,Investor,
"USAmeriBancorp,Inc.",,Leonard A. Gail,Investor,Massey & Gail LLP,2015,Investor,
"USAmeriBancorp,Inc.",,"Robin Steans,Custodian for Jessica W. Steans-Gail",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,"Robin Steans,Custodian for Leah E. Steans-Gail",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,"Robin Steans,Custodian for Sydney E. Steans-Gail",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Robin M. Steans 1999 Decendants Trust,Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,"Trilogy Investment Group,LLC",Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Steans 1996 Family Trust,Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Steans Family Foundation,Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Adeline S. Morrison,Investor,,2015,Investor,
"USAmeriBancorp,Inc.",,Harold M. Morrison,Investor,,2015,Investor,
