Bank,Internal Title,Person,Fiscal Year,RSSD_ID,Stock Class,Number of Shares,Percentage of Ownership
"Alamerica BancCorp,Inc.",Shareholder,clarissa b. harms,2017,,common,115735,0.1157
"Alamerica BancCorp,Inc.",Director,kenneth l. thomas,2017,2877484,common,120596,0.1206
"Alamerica BancCorp,Inc.",Director,donald v. watkins,2018,,common,473089,0.4731
"Alamerica BancCorp,Inc.",Director & President/CEO,lawrence r. tate,2018,,common,179078,0.1791
"Alamerica BancCorp,Inc.",Shareholder,clarissa b. harms,2018,,common,115735,0.1157
"Alamerica BancCorp,Inc.",Shareholder,kenneth l. thomas,2018,,common,120496,0.12050000000000001
"Alamerica BancCorp,Inc.",Shareholder,donald v. watkins,2020,,common,473089,0.4731
"Alamerica BancCorp,Inc.","Shareholder,Director",lawrence r. tate,2020,,common,179078,0.1791
"Alamerica BancCorp,Inc.",Shareholder,clarissa b. harms,2020,,common,115735,0.1157
"Alamerica BancCorp,Inc.",Shareholder,kenneth l. thomas,2020,,common,120496,0.12050000000000001
"Altamaha Bancshares,Inc.",Director,mae jones,2014,,Common Stock,30602,0.228
"Altamaha Bancshares,Inc.",Director/Randall,betty morris or randall morris & austin morris family trust,2014,,Common Stock,10305,0.077
"Altamaha Bancshares,Inc.",Director/ Chairman,w colon sammons,2014,,Common Stock,8835,0.064
"ALTAMAHA BANCSHARES,INC.",Director,mae jones,2015,1081510,Common Stock,30602,0.228
"ALTAMAHA BANCSHARES,INC.",Director/Susan,susan saller shook,2015,1081510,Common Stock,13255,0.099
"ALTAMAHA BANCSHARES,INC.",Director Chairman/W.Colon President CEO/Director,w colon sammons,2015,1081510,Common Stock,9635,0.0717
"Altamaha Bancshares,Inc.",Director,mae jones,2016,,Common Stock,30602,0.228
"Altamaha Bancshares,Inc.",Director/Susan,susan salter shook,2016,,Common Stock,13595,0.1012
"Altamaha Bancshares,Inc.",Director/ Chairman,w colon sammons,2016,,Common Stock,9925,0.0739
"Altamaha Bancshares,Inc.",President,w colon sammons,2016,,Common Stock,9925,0.0739
"Altamaha Bancshares,Inc.",Director,w colon sammons,2016,,Common Stock,9925,0.0739
"Altamaha Bancshares,Inc.",Director,mae jones,2017,1081510,Common Stock,30602,0.228
"Altamaha Bancshares,Inc.",Director,mae jones,2018,,Common Stock,30602,0.228
"Altamaha Bancshares,Inc.",Director/Susan,susan salter shook,2018,,Common Stock,13595,0.10099999999999999
"Altamaha Bancshares,Inc.",Director,mae jones,2019,,Common Stock,30602,0.228
"Altamaha Bancshares,Inc.",Director/Susan,betty salter,2019,,Common Stock,13595,0.10099999999999999
Peoples Bank,Director Vice Chairman CEO,robin cummings,2014,1136595,Common Stock,256023,0.0545
Peoples Bank,Director,timothy dudley walker,2014,1136595,Common Stock,247960,0.0528
"Altrust Financial Services,Inc",Director,timothy dudley walker,2019,60330,Common Stock,271412,0.0559
"Altrust Financial Services,inc",Director,timothy dudley walker,2020,,Common Stock,284648,0.0582
"Altrust Financial Services,Inc.",,"altrust financial services,inc.",2022,,Common Stock,1200648,0.24271
"American Bancorp,Inc.","Director,CEO & President",ronald j. lashute,2015,1085349,Common Stock,17755,0.2267
"American Bancorp,Inc.",CEO & President,ronald j. lashute,2016,1085349,Common Stock,17821,0.2284
"American Bancorp,Inc.",President & CEO,ronald j. lashute,2020,,Common Stock,17821,0.2284
"American Bancorp,Inc.",President & CEO,ronald j. lashute,2023,,Common Stock,17821,0.2371
American Pride Bank,Director & Chairman,michael gilstrap,2020,,,10000,0.005
American Pride Bank,Director & Vice-Chairman,ajitkumar patel,2020,,,51666,0.024
American Pride Bank,Director,bhagu patel,2020,,,75000,0.031
American Pride Bank,Director,dipesh patel,2020,,,41000,0.02
American Pride Bank,Director,maneklal patel,2020,,,52500,0.024
American Pride Bank,Director,rasikbhai patel,2020,,,54167,0.025
American Pride Bank,Director,piyush k. patel,2020,,,54167,0.025
"American Bancorp,Inc.",Director & Vice-Chairman,michael gilstrap,2022,,,10000,0.005
"American Bancorp,Inc.",Director,ajitkumar patel,2022,,,51666,0.024
"American Bancorp,Inc.",Director,dipesh patel,2022,,,41000,0.02
"American Bancorp,Inc.",Director,maneklal patel,2022,,,52500,0.024
"American Bancorp,Inc.",Director,rasikbhai patel,2022,,,54167,0.025
"American Bancorp,Inc.",Director,john f. hall,2022,"& President,n/a",,0,0.035
"American Bancorp,Inc.",Bank CFO,rebecca p. bell,2022,,,0,0.008
"American Bancorp,Inc.",Bank COO,andy flowers,2022,,,0,0.013000000000000001
"American Bancshares,Inc.",Chairman of the Bd,edward t. riecke,2015,,,60544,0.0263
"American Bancshares,Inc.",Chairman of the Bd,edward t. riecke,2015,,,157008,0.0682
"American Bancshares,Inc.",,riecke and associates,2015,,,223877,0.09720000000000001
"American Bancshares,Inc.",Chairman of the Bd,edward t. riecke,2016,1104615,,60544,0.0263
"American Bancshares,Inc.",Chairman of the Bd,edward t. riecke,2016,1104615,,157008,0.0682
"American Bancshares,Inc.",,riecke and associates,2016,1104615,,223877,0.09720000000000001
"American Bancshares,Inc.",,riecke and associates,2018,,,223877,0.079399
"American Bancshares,Inc.",,riecke and associates,2021,597452,,338925,0.111859
American Bank,,riecke and associates,2022,,,338925,0.111859
American Bancshares Corp.,Director,johnny f. coleman,2015,2226475,,45.32,0.1744
American Bancshares Corp.,Secretary & Director,j. steve daniels,2015,2226475,,42.00,0.1616
American Bancshares Corp.,Director,kenneth copeland,2015,2226475,,22.06,0.0849
AMERICAN BANCSHARES CORP.,Director,johnny f. coleman,2017,,,44.32,0.16920000000000002
AMERICAN BANCSHARES CORP.,Secretary & Director,j. steve daniels,2017,,,42.00,0.1603
AMERICAN BANCSHARES CORP.,Director,kenneth copeland,2017,,,22.06,0.0842
American Bancshares Corp.,Director,johnny f. coleman,2018,2226475,,44.32,0.1673
American Bancshares Corp.,Secretary & Director,j. steve daniels,2018,2226475,,42.00,0.1585
American Bancshares Corp.,Director,kenneth copeland,2018,2226475,,22.06,0.0833
AMERICAN BANCSHARES CORP.,Director,johnny f. coleman,2019,,,47.32,0.1773
AMERICAN BANCSHARES CORP.,Secretary & Director,j. steve daniels,2019,,,43.00,0.1611
AMERICAN BANCSHARES CORP.,Director,kenneth copeland,2019,,,24.06,0.0901
"American Patriot Financial Group,Inc.",Director,william smead,2014,,common stock,135166,0.056600000000000004
"American Patriot Financial Group,Inc.",Director,william smead,2015,,common stock,135166,0.056600000000000004
Andrew Johnson Bancshares,Principal shareholder,leslie hull,2015,1083185,,64109,0.16920000000000002
Andrew Johnson Bancshares,Principal shareholder,brandon hull,2015,1083185,,98247,0.2593
Andrew Johnson Bankshares,Principal shareholder,leslie hull,2016,1083185,,64109,0.16920000000000002
Andrew Johnson Bankshares,Principal shareholder,brandon hull,2016,1083185,,98247,0.2593
Andrew Johnson Bancshares,Principal shareholder,leslie hull,2016,,,64109,0.16920000000000002
Andrew Johnson Bancshares,Principal shareholder,brandon hull,2016,,,98247,0.2593
"Andrew Johnson Bancshares,Inc.",Principal shareholder,leslie hull,2018,,,55524,0.1469
"Andrew Johnson Bancshares,Inc.",Principal shareholder,brandon hull,2018,,,106832,0.2826
Andrew Johnson Bancshares,Principal shareholder,leslie hull,2019,,,55524,0.1469
Andrew Johnson Bancshares,Principal shareholder,leslie hull,2019,,,64294,0.1718
Andrew Johnson Bancshares,Principal shareholder,brandon hull,2019,,,106832,0.2826
Andrew Johnson Bancshares,Principal shareholder,brandon hull,2019,,,115602,0.3089
Andrew Johnson Bancshares,Director,leslie hull,2019,,,55524,0.1469
Andrew Johnson Bancshares,Director,leslie hull,2019,,,64294,0.1718
Andrew Johnson Bancshares,,brandon hull,2019,,,106832,0.2826
Andrew Johnson Bancshares,,brandon hull,2019,,,115602,0.3089
"Andrew Johnson Bancshares,Inc.",Director,christopher marsh,2023,,,37896,0.1023
"Andrew Johnson Bancshares,Inc.",Director,leslie hull,2023,,,55524,0.14980000000000002
"Andrew Johnson Bancshares,Inc.",Principal shareholder,brandon hull,2023,,,124372,0.3357
"Apollo Bancshares,Inc.",Director,nicholas di tempora,2017,,Shares,202500,0.0533
"Apollo Bancshares,Inc.",Director,nicholas di tempora,2017,,Options,13649,0.0533
Athens Bancshares Corporation,"Director,President & CEO",jeffrey l. cunningham,2015,,,105262,0.0565
Athens Bancshares Corporation,Treasurer and CFO,michael r. hutsell,2015,,,107967,0.057999999999999996
Athens Bancshares Corporation,,"jay leggett,jr.",2015,,,97812,0.0535
Athens Federal Community Bank,Chairman and Director,jeffrey l. cunningham,2016,4101437,Common Stock Options,107952,0.0587
Athens Federal Community Bank,Director,jeffrey l. cunningham,2016,4101437,Common Stock Options,107952,0.0587
Athens Federal Community Bank,Treasurer and CFO,michael r. hutsell,2016,4101437,Common Stock Options,108829,0.0592
Athens Federal Community Bank,President,michael r. hutsell,2016,4101437,Common Stock Options,108829,0.0592
Athens Federal Community Bank,Director,michael r. hutsell,2016,4101437,Common Stock Options,108829,0.0592
Athens Federal Community Bank,,"jay leggett,jr.",2016,4101437,Common Stock Options,103539,0.0574
Athens Federal Community Bank,Treasurer and CFO,michael r. hutsell,2017,807272,Common Stock Options,109949,0.059000000000000004
Athens Federal Community Bank,,"jay leggett,jr.",2017,807272,,99246,0.055
ATKINSON COUNTY BANKSHARES CORPORATION,PRESIDENT & DIRECTOR,"charlie w. bray,iii",2014,,common stock,7200,1.0
ATKINSON COUNTY BANKSHARES CORPORATION,PRESIDENT,"charlie w. bray,iii",2017,,common stock,7200,1.0
ATKINSON COUNTY BANKSHARES CORPORATION,PRESIDENT & DIRECTOR,"charlie w. bray,iii",2019,,common stock,7200,1.0
ATKINSON COUNTY BANKSHARES CORPORATION,PRESIDENT & DIRECTOR,"charlie w. bray,iii",2020,,common stock,7200,1.0
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2019,3555695,Common Stock,3045698,0.13699999999999998
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2019,3555695,Common Stock,3954898,0.127
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2019,3555695,,2163152,0.115
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2019,3555695,,4553613,0.0596
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2019,3555695,,4556598,0.08800000000000001
"Atlantic Capital Bancshares,Inc.",,"rmb capital holdings,llc",2019,3555695,Common Stock,1693543,0.0546
"Atlantic Capital Bancshares,Inc.",,"rmb capital holdings,llc",2019,3555695,Common Stock,379407,0.034
"Atlantic Capital Bancshares,Inc.",,"rmb capital holdings,llc",2019,3555695,,992251,0.0885
"Atlantic Capital Bancshares,Inc.",,"blackrock,inc.",2019,3555695,Common Stock,1705904,0.078
"Atlantic Capital Bancshares,Inc.",,"blackrock,inc.",2019,3555695,,1268801,0.0673
"Atlantic Capital Bancshares,Inc.",,"blackrock,inc.",2019,3555695,,2136509,0.14400000000000002
"Atlantic Capital Bancshares,Inc.",,"blackrock,inc.",2019,3555695,,6828850,0.0894
"Atlantic Capital Bancshares,Inc.",,"blackrock,inc.",2019,3555695,,575102,0.0513
"Atlantic Capital Bancshares,Inc.",,"blackrock,inc.",2019,3555695,Common Stock,7145742,0.133
"Atlantic Capital Bancshares,Inc.",,"blackrock,inc.",2019,3555695,Synovus Common Stock,15061016,0.102
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2019,3555695,Common Stock,6853063,0.0986
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2019,3555695,Common Stock,1142726,0.052199999999999996
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2019,3555695,,3154072,0.061
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2019,3555695,Common Stock,4828710,0.0901
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2021,3555695,Common Stock,2668681,0.131
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2021,3555695,,5142843,0.0674
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2021,3555695,Voting Common Stock,1790774,0.133
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2021,3555695,,4581082,0.078
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2021,3555695,outstanding common stock,2995073,0.042
"Atlantic Capital Bancshares,Inc.",,"t. rowe price associates,inc.",2021,3555695,,2599143,0.12689999999999999
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2021,3555695,Common Stock,7166213,0.10289999999999999
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2021,3555695,,3619289,0.062
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2021,3555695,Common Stock,5191699,0.096
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2021,3555695,outstanding common stock,6800057,0.0981
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2021,3555695,,1067580,0.0521
"Atlantic Capital Bancshares,Inc.",,the vanguard group,2021,3555695,common stock,6290864,0.102
"Atlantic Capital Bancshares,Inc.",,"dimensional fund advisors,l.p.",2021,3555695,Common Stock,1057732,0.052000000000000005
Atlantic Coast Bank,Board Member,bhanu choudhrie,2015,,,1409077,0.0909
Atlantic Coast Financial,Executive Director,bhanu choudhrie,2016,,,1409077,0.0906
Atlantic Coast Bank,"Executive Director,Board Member",bhanu choudhrie,2017,,,1413877,0.0909
AuburnBank,"Chairman,Director of AuburnBank","e.l. spencer,jr.",2015,749635,,721455,0.198
AUBURNBANK,"Chairman,Director of AuburnBank","e.l. spencer,jr.",2016,749635,,729516,0.2002
"Auburn National Bancorporation,Inc.",Director,"e.l. spencer,jr.",2017,749635,,744316,0.2043
"Avenue Financial Holdings,Inc.",Director,david ingram,2015,,Common Stock,"529,845",0.051399999999999994
"Axiom Bancshares,Inc",Director & Chairman,"frank hanna,jr.",2021,,Common Stock,2000000,1.0
"AXIOM BANCSHARES,INC",Shareholder,lisa h. sherrill,2022,,Common Stock,667.000,0.3335
"AXIOM BANCSHARES,INC",Shareholder,frank j. hanna iii,2022,,Common Stock,667.000,0.3335
"Axiom Bancshares,Inc.",Director and President,ross j. breunig,2023,,,,0.07429999999999999
"Axiom Bancshares,Inc.",Director & Chairman,"frank hanna,jr.",2017,,Common Stock,2000,1.0
"Axiom Bancshares,Inc.",Director & Chairman,"frank hanna,jr.",2018,,Common Stock,2000.000,1.0
"Axiom Bancshares,Inc.",Director & Chairman,"frank hanna,jr.",2019,,Common Stock,2000.000,1.0
"Axiom Bancshares,Inc",Director & Chairman,"frank hanna,jr.",2014,,Common Stock,2000.000,1.0
"Alamerica BancCorp,Inc.",Chairman of the Board of Directors,donald v. watkins,2014,3647583,common,473089,0.4731
"Alamerica BancCorp,Inc.",Director President/CEO,lawrence r. tate,2014,3647583,common,178828,0.1788
"Alamerica BancCorp,Inc.",Shareholder,clarissa b. harms,2014,3647583,common,114735,0.11470000000000001
"Alamerica BancCorp,Inc.",Director,kenneth l. thomas,2014,3647583,common,120596,0.1206
Andrew Johnson Bank,Principal shareholder,leslie hull,2014,,,72209,0.1907
Andrew Johnson Bank,Principal shareholder,brandon hull,2014,,,90147,0.23800000000000002
Atlantic Coast Financial Corporation,Board Member,bhanu choudhrie,2014,3840029,,1409077,0.0909
"Bainbridge Bancshares,Inc.",Director,e. terril scott,2017,,,,0.05918
"Bainbridge Bancshares,Inc.","Director,Director of First National Bank",greg calhoun,2018,3232361,,56875,0.05984
"Bainbridge Bancshares,Inc.",,"william r. cox,sr.",2018,3232361,,100393,0.10561999999999999
"Bainbridge Bancshares,Inc.",Director,greg calhoun,2020,,,56875,0.05984
"Bainbridge Bancshares,Inc.",,"william r. cox,sr.",2020,,,102807,0.10816
First National Bank,Director,greg calhoun,2023,,,56875,0.057210000000000004
"BancIndependent,Incorporated",EXECUTIVE VICE PRESIDENT & DIRECTOR,leonard preuit mauldin,2015,,,14983,0.08410000000000001
Bank Independent,EXECUTIVE VICE PRESIDENT DIRECTOR,leonard preuit mauldin,2019,539032,,13977,0.0801
BancIndependent,EXECUTIVE VICE PRESIDENT & DIRECTOR,leonard preuit mauldin,2020,539032,,14500,0.08310000000000001
BancIndependent,EXECUTIVE VICE PRESIDENT & DIRECTOR,leonard preuit mauldin,2021,539032,,14500,0.08310000000000001
Bank Independent,*EXECUTIVE VICE PRESIDENT & DIRECTOR,leonard preuit mauldin,2022,539032,,14500,0.08310000000000001
"Bancorp of Lucedale,Inc.",Director/President/CEO/Chairman of the Board,"douglas t. luce,jr.",2014,,Common Stock,26073,0.17559999999999998
"Bancorp of Lucedale,Inc.",Director,"jex r. luce,jr.",2014,,Common Stock,16705,0.15380000000000002
"Bancorp of Lucedale,Inc.",Exec Vice-President/COO/Director,charles f. brown. iii,2014,,Common Stock,9955,0.0916
"Bancorp of Lucedale,Inc.",Director/Chairman of the Board,"douglas t. luce,jr.",2016,,Common Stock,18819,0.17379999999999998
"Bancorp of Lucedale,Inc.",Director,"douglas t. luce,jr.",2016,,Common Stock,18819,0.17379999999999998
"Bancorp of Lucedale,Inc.",Director,"jex r. luce,jr.",2016,,Common Stock,16705,0.1542
"Bancorp of Lucedale,Inc.",Director/Chairman of the Board,"douglas t. luce,jr.",2021,58636,Common Stock,26331,0.2444
"Bancorp of Lucedale,Inc.",,"douglas t. luce,jr.",2021,58636,Common Stock,26331,0.2444
"Bancorp of Lucedale,Inc.",Director,"jex r. luce,jr.",2021,58636,Common Stock,16705,0.1551
"Bancorp of Lucedale,Inc.",,"jex r. luce,jr.",2021,58636,Common Stock,16705,0.1551
"Bancorp of Lucedale,Inc.",Director/Chairman of the Board,"douglas t. luce,jr.",2022,,Common Stock,30602,0.2844
"Bancorp of Lucedale,Inc.",Director,"jex r. luce,jr.",2022,,Common Stock,16705,0.1551
"Bancorp of Lucedale,Inc.",,"jex r. luce,jr.",2022,,Common Stock,16705,0.1551
"Bancorp of Lucedale,Inc.","Director/Chairman of the Board,Director/Chairman of the Board (Century Bank)","douglas t. luce,jr.",2023,,Common Stock,30602,0.2853
"Bancorp of Lucedale,Inc.","Director,Director (Century Bank)","jex r. luce,jr.",2023,,Common Stock,16705,0.15539999999999998
"The Bancshares,Inc.",Director /Chairman of The Bank,clarence l miller,2014,,Common Stock,112933,0.1438
"THE BANCSHARES,INC.",Director/Chairman,clarence l miller,2015,,Common Stock,112933,0.1438
"The Bancshares,Inc.",Director/Chairman of The Bank,clarence l miller,2016,2505460,Common Stock,112933,0.14400000000000002
"The Bancshares,Inc.",Director/Chairman,clarence l miller,2017,,Common Stock,112933,0.14400000000000002
"The Bancshares,Inc.",Principal Securities Holder,phoebe s. miller,2019,,Common Stock,116683,0.1484
"The Bancshares,Inc.",Principal Securities Holder,phoebe s. miller,2020,,Common Stock,116683,0.1484
"The Bancshares,Inc.",,phoebe s. miller,2021,,Common Stock,116683,0.1485
"The Bancshares,Inc.",Principal Securities Holder,phoebe s. miller,2023,,Common Stock,113393,0.1448
BancSouth Corporation,Chairman and Director,"n. mitchell dowling,jr.",2015,1084061,,8690,0.259
BancSouth Corporation,"Cashier,Chairman and Director","n. mitchell dowling,jr.",2015,1084061,,8690,0.259
BancSouth Corporation,Director,"george laurence mccrary,iii",2015,1084061,,2700,0.0805
BancSouth Corporation,Chairman and Director,"n. mitchell dowling,jr.",2016,,,8690,0.259
BancSouth Corporation,"Cashier,Chairman and Director","n. mitchell dowling,jr.",2016,,,8690,0.259
BancSouth Corporation,Director,"george laurence mccrary,iii",2016,,,2700,0.0805
BancSouth Corporation,Chairman and Director,"n. mitchell dowling,jr.",2017,,,8690,0.259
BancSouth Corporation,"Cashier,Chairman and Director","n. mitchell dowling,jr.",2017,,,8690,0.259
BancSouth Corporation,Director,"george laurence mccrary,iii",2017,,,2700,0.0805
BancSouth Corporation,"Director,Director","george laurence mccrary,iii",2019,,,2700,0.0805
BancSouth Corporation,Chairman and Director,"n. mitchell dowling,jr.",2020,,,8690,0.259
BancSouth Corporation,Director,"george laurence mccrary,iii",2020,,,2700,0.0805
BancTenn Corp,"Chairman of the Board,President & CEO of the Company;Director of Bank of Tennessee","william b. greene,jr.",2015,,common stock,1794967,0.7134999999999999
BancTenn Corp,Executive Vice-President of the Company;Chairman of the Board and CEO of Bank of Tennessee,"roy l. harmon,jr.",2015,,common stock,164766,0.0655
BancTenn Corp,"Chairman of the Board,President & CEO of the Company; Chairman of the Bank of Tennessee Board of Directors","william b. greene,jr.",2019,,common stock,1801987,0.7095999999999999
"Bank of Commerce Holdings,Inc.",Director/ Chairman,cathy l. layton,2014,,common stock,67278,0.052199999999999996
"Bank of Commerce Holdings,Inc.",Director,john k. cannon,2014,,common stock,70028,0.054299999999999994
Bank of Central Florida Holding Company,Director,wesley l. beck,2020,3588312,Common Stock,225408,0.08289999999999999
Bank of Central Florida Holding Company,"Chairman,President & CEO",paul j. noris,2020,,Common Stock,282485,0.098
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2022,,common shares,759633,0.115
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2022,,Common,335000,0.105
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2022,,Common Stock,729161,0.40130000000000005
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2022,,Common Stock,1125437,0.0666
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2023,,common,817332,0.1274
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2023,,Common,365000,0.1137
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2023,,Common Stock,730014,0.3992
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2023,,Common Stock,1285826,0.076
"BankFlorida Bancorp,Inc.",Director & Chairman,kenneth r. lehman,2023,,,1842644,0.0592
"BankFlorida Bancorp,Inc.",Director,dan knowlton,2023,,Common,180000,0.056100000000000004
