Internal Title,Person,Fiscal Year,Bank_y,Stock Class,Number of Shares,Percentage of Ownership,RSSD_ID_y
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director,Donald V. Watkins,2016,"Alamerica BancCorp,Inc.",common,473089,47.31%,3047583
Director & President/CEO,Lawrence R. Tate,2016,"Alamerica BancCorp,Inc.",common,179078,17.91%,3047583
Director & President/CEO,Lawrence R. Tate,2016,"Alamerica BancCorp,Inc.",common,179078,17.91%,3047583
Shareholder,Clarissa B. Harms,2016,"Alamerica BancCorp,Inc.",common,115735,11.57%,3047583
Director,Kenneth L. Thomas,2016,"Alamerica BancCorp,Inc.",common,120596,12.06%,3047583
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director,Donald V. Watkins,2017,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director & President/CEO,Lawrence R. Tate,2017,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Shareholder,Clarissa B. Harms,2017,"Alamerica BancCorp,Inc.",common,115735,11.57%,
Director,Kenneth L. Thomas,2017,"Alamerica BancCorp,Inc.",common,120596,12.06%,
Director,Donald V. Watkins,2018,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Director & President/CEO,Lawrence R. Tate,2018,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Director & President/CEO,Lawrence R. Tate,2018,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Shareholder,Clarissa B. Harms,2018,"Alamerica BancCorp,Inc.",common,115735,11.57%,
Shareholder,Kenneth L. Thomas,2018,"Alamerica BancCorp,Inc.",common,120496,12.05%,
Shareholder,Donald V. Watkins,2020,"Alamerica BancCorp,Inc.",common,473089,47.31%,
"Shareholder,Director",Lawrence R. Tate,2020,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Shareholder,Clarissa B. Harms,2020,"Alamerica BancCorp,Inc.",common,115735,11.57%,
Shareholder,Kenneth L. Thomas,2020,"Alamerica BancCorp,Inc.",common,120496,12.05%,
Shareholder,Donald V. Watkins,12/31/2021,"Alamerica BancCorp,Inc.",common,473089,47.31%,
Shareholder,Lawrence R. Tate,12/31/2021,"Alamerica BancCorp,Inc.",common,179078,17.91%,
Shareholder,Clarissa B. Harms,12/31/2021,"Alamerica BancCorp,Inc.",common,115735,11.57%,
Shareholder,Kenneth L. Thomas,12/31/2021,"Alamerica BancCorp,Inc.",common,120496,12.05%,
Chairman of the Board and Vice President of Strategic and Capital Planning,Robert F. Hatcher,2017,MidCountry Financial Corp.,,344288,,3839902
Chairman of the Board and Vice President of Strategic and Capital Planning,Robert F. Hatcher,2017,MidCountry Financial Corp.,,344288,,3839902
Chairman of the Board and Vice President of Strategic and Capital Planning,Robert F. Hatcher,2017,MidCountry Financial Corp.,,344288,,3839902
Director,Mae Jones,2014,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,
Director/Randall,Betty Morris or Randall Morris & Austin Morris Family Trust,2014,"Altamaha Bancshares,Inc.",Common Stock,10305,7.7%,
Director/Randall,Betty Morris or Randall Morris & Austin Morris Family Trust,2014,"Altamaha Bancshares,Inc.",Common Stock,10305,7.7%,
Director/Randall,Betty Morris or Randall Morris & Austin Morris Family Trust,2014,"Altamaha Bancshares,Inc.",Common Stock,10305,7.7%,
Director/ Chairman,W Colon Sammons,2014,"Altamaha Bancshares,Inc.",Common Stock,8835,6.4%,
Director,Mae Jones,2015,"ALTAMAHA BANCSHARES,INC.",Common Stock,30602,22.8%,1081510
Director/Susan,Susan Saller Shook,2015,"ALTAMAHA BANCSHARES,INC.",Common Stock,13255,9.9%,1081510
Director Chairman/W.Colon President CEO/Director,W Colon Sammons,2015,"ALTAMAHA BANCSHARES,INC.",Common Stock,9635,7.17%,1081510
Director,Mae Jones,2016,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,
Director/Susan,Susan Salter Shook,2016,"Altamaha Bancshares,Inc.",Common Stock,13595,10.12%,
Director/Susan,Susan Salter Shook,2016,"Altamaha Bancshares,Inc.",Common Stock,13595,10.12%,
Director/ Chairman,W Colon Sammons,2016,"Altamaha Bancshares,Inc.",Common Stock,9925,7.39%,
President,W Colon Sammons,2016,"Altamaha Bancshares,Inc.",Common Stock,9925,7.39%,
Director,W Colon Sammons,2016,"Altamaha Bancshares,Inc.",Common Stock,9925,7.39%,
Director,Mae Jones,2017,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,1081510
Director,Mae Jones,2018,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,
Director/Susan,Susan Salter Shook,2018,"Altamaha Bancshares,Inc.",Common Stock,13595,10.1%,
Director,Mae Jones,2019,"Altamaha Bancshares,Inc.",Common Stock,30602,22.8%,
Director/Susan,Betty Salter,2019,"Altamaha Bancshares,Inc.",Common Stock,13595,10.1%,
Director Vice Chairman CEO,Robin Cummings,2014,"Altrust Financial Services,Inc",Common Stock,256023,5.45%,1136595
Director,Timothy Dudley Walker,2014,"Altrust Financial Services,Inc",Common Stock,247960,5.28%,1136595
Director,Timothy Dudley Walker,2014,"Altrust Financial Services,Inc",Common Stock,247960,5.28%,1136595
Director,Timothy Dudley Walker,2014,"Altrust Financial Services,Inc",Common Stock,247960,5.28%,1136595
Director,Timothy Dudley Walker,2014,"Altrust Financial Services,Inc",Common Stock,247960,5.28%,1136595
Director,Timothy Dudley Walker,2019,"Altrust Financial Services,Inc.",Common Stock,271412,5.59%,
Director,Timothy Dudley Walker,2019,"Altrust Financial Services,Inc.",Common Stock,271412,5.59%,
Director,Timothy Dudley Walker,2019,"Altrust Financial Services,Inc.",Common Stock,271412,5.59%,
Director,Timothy Dudley Walker,2019,"Altrust Financial Services,Inc.",Common Stock,271412,5.59%,
Director,Timothy Dudley Walker,2020,"Altrust Financial Services,Inc.",Common Stock,284648,5.82%,
Director,Timothy Dudley Walker,2020,"Altrust Financial Services,Inc.",Common Stock,284648,5.82%,
Director,Timothy Dudley Walker,2020,"Altrust Financial Services,Inc.",Common Stock,284648,5.82%,
,"Altrust Financial Services,Inc.",2022,"Altrust Financial Services,Inc.",Common Stock,1200648,24.271%,
"Director,CEO & President",Ronald J. Lashute,2015,"American Bancorp,Inc.",Common Stock,17755,22.67%,1085349
CEO & President,Ronald J. Lashute,2016,"American Bancorp,Inc.",Common Stock,17821,22.84%,1085349
President & CEO,Ronald J. Lashute,2020,"American Bancorp,Inc.",Common Stock,17821,22.84%,
President & CEO,Ronald J. Lashute,2023,"American Bancorp,Inc.",Common Stock,17821,23.71%,
Director & Chairman,Michael Gilstrap,2020,"American Bancorp,Inc.",,10000,0.5%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director & Vice-Chairman,Ajitkumar Patel,2020,"American Bancorp,Inc.",,51666,2.4%,
Director,Bhagu Patel,2020,"American Bancorp,Inc.",,75000,3.1%,
Director,Dipesh Patel,2020,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,2020,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,2020,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,2020,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,2020,"American Bancorp,Inc.",,41000,2.0%,
Director,Maneklal Patel,2020,"American Bancorp,Inc.",,52500,2.4%,
Director,Maneklal Patel,2020,"American Bancorp,Inc.",,52500,2.4%,
Director,Maneklal Patel,2020,"American Bancorp,Inc.",,52500,2.4%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director,Piyush K. Patel,2020,"American Bancorp,Inc.",,54167,2.5%,
Director & Vice-Chairman,Michael Gilstrap,2022,"American Bancorp,Inc.",,10000,0.5%,
Director & Vice-Chairman,Michael Gilstrap,2022,"American Bancorp,Inc.",,4126,,
Director,Ajitkumar Patel,2022,"American Bancorp,Inc.",,51666,2.4%,
Director,Ajitkumar Patel,2022,"American Bancorp,Inc.",,20629,,
Director,Ajitkumar Patel,2022,"American Bancorp,Inc.",,51666,2.4%,
Director,Ajitkumar Patel,2022,"American Bancorp,Inc.",,20629,,
Director,Ajitkumar Patel,2022,"American Bancorp,Inc.",,51666,2.4%,
Director,Ajitkumar Patel,2022,"American Bancorp,Inc.",,20629,,
Director,Dipesh Patel,2022,"American Bancorp,Inc.",,41000,2.0%,
Director,Dipesh Patel,2022,"American Bancorp,Inc.",,19629,,
Director,Maneklal Patel,2022,"American Bancorp,Inc.",,52500,2.4%,
Director,Maneklal Patel,2022,"American Bancorp,Inc.",,20629,,
Director,Rasikbhai Patel,2022,"American Bancorp,Inc.",,54167,2.5%,
Director,Rasikbhai Patel,2022,"American Bancorp,Inc.",,20629,,
Director,John F. Hall,2022,"American Bancorp,Inc.",,0,3.5%,
Director,John F. Hall,2022,"American Bancorp,Inc.",,104320,,
Bank CFO,Rebecca P. Bell,2022,"American Bancorp,Inc.",,0,0.8%,
Bank CFO,Rebecca P. Bell,2022,"American Bancorp,Inc.",,25000,,
Bank COO,Andy Flowers,2022,"American Bancorp,Inc.",,0,1.3%,
Bank COO,Andy Flowers,2022,"American Bancorp,Inc.",,40000,,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,60544,2.63%,
Chairman of the Bd,Edward T. Riecke,2015,"American Bancshares,Inc.",,157008,6.82%,
,Riecke and Associates,2015,"American Bancshares,Inc.",,223877,9.72%,
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,60544,2.63%,1104615
Chairman of the Bd,Edward T. Riecke,2016,"American Bancshares,Inc.",,157008,6.82%,1104615
,Riecke and Associates,2016,"American Bancshares,Inc.",,223877,9.72%,1104615
,Riecke and Associates,2018,"American Bancshares,Inc.",,223877,7.9399%,
,Riecke and Associates,2021,"American Bancshares,Inc.",,338925,11.1859%,
,Riecke and Associates,2022,"American Bancshares-Red River,Inc.",,338925,11.1859%,
Director,Johnny F. Coleman,2015,American Bancshares Corp.,,45.32,17.44%,2226475
Director,Johnny F. Coleman,2015,American Bancshares Corp.,,45.32,17.44%,2226475
Director,Johnny F. Coleman,2015,American Bancshares Corp.,,45.32,17.44%,2226475
Director,Johnny F. Coleman,2015,American Bancshares Corp.,,45.32,17.44%,2226475
Secretary & Director,J. Steve Daniels,2015,American Bancshares Corp.,,42.00,16.16%,2226475
