Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,RSSD_ID
Plaquemine Bank & Trust Company,Vice President,Elizabeth Rivet,,,2021,Vice President,
Plaquemine Bank & Trust Company,Assistant Vice President,Rhett Vaughn,,,2021,,
Plaquemine Bancshares Corporation,Director & Vice Chairman,"John N. Gum,Jr.",,,2022,Retired,
Plaquemine Bancshares Corporation,Director & Secretary of the Board,Kenneth C. Caruso,,"KC5,LLC",2022,Managing Partner,
Plaquemine Bancshares Corporation,Director,"Harry J Philips,Jr.",Partner,"Taylor Porter Brooks and Phillips,Attorneys-at-Law",2022,Former,
Plaquemine Bancshares Corporation,Director,Leo D Sternfels,President,Service Mortgage Co.,2022,Retired,
Plaquemine Bancshares Corporation,Director,Brian M Aguillard,,,2022,,
Plaquemine Bancshares Corporation,Director,Mark Graffeo,,,2022,,
Plaquemine Bancshares Corporation,Director & Chairman/ President/CEO,Stephen Panepinto,,,2022,,
Plaquemine Bancshares Corporation,"Executive Vice President,CFO & Cashier",Tabatha D. Tempanaro,,,2022,,
Plaquemine Bancshares Corporation,Vice President,Caroline B. Causin,,,2022,,
Plaquemine Bancshares Corporation,Vice President,Elizabeth Rivet,,,2022,,
Plaquemine Bancshares Corporation,Vice President,Rhett Vaughn,,,2022,,
Plaquemine Bank & Trust Company,Director & Vice Chairman,"John N. Gum,Jr.",,,2023,Retired,
Plaquemine Bank & Trust Company,Director,Kenneth C. Caruso,,,2023,Managing Partner,
Plaquemine Bank & Trust Company,Director,"Harry J Philips,Jr.",Partner,"Taylor Porter Brooks and Phillips,Attorneys-at-Law",2023,Partner,
Plaquemine Bank & Trust Company,Director,Leo D Sternfels,President,Service Mortgage Co.,2023,President of Service Mortgage Co.,
Plaquemine Bank & Trust Company,Director,Leo D Sternfels,,Arthur J. Gallagher & Co.,2023,President of Service Mortgage Co.,
Plaquemine Bank & Trust Company,Director,Brian M Aguillard,,,2023,,
Plaquemine Bank & Trust Company,Director,Mark Graffeo,,,2023,Director,
Plaquemine Bank & Trust Company,Director & Chairman/President/CEO,Stephen Panepinto,,,2023,Director & Chairman/CEO,
Plaquemine Bank & Trust Company,Director & President,Jason P. Freyou,,,2023,Director & President,
Plaquemine Bank & Trust Company,"Executive Vice President,CFO & Cashier",Tabatha D. Tempanaro,,,2023,"Executive Vice President,CFO & Cashier",
Plaquemine Bank & Trust Company,Vice President,Caroline B. Causin,,,2023,,
Plaquemine Bank & Trust Company,Vice President,Rhett Vaughn,,,2023,Vice President,
Platinum Bank Holding Company,Director/President/CEO,Jerry M. Kyle,Member,M & M Properties LLP,2014,,2631314
Platinum Bank Holding Company,Director,Amy Carey Lee,Manager,"Thuzi,LLC",2014,Investor,
Platinum Bank Holding Company,Director,Amy Carey Lee,Secretary/Treasurer,"JFJ Investments,inc",2014,Investor,
Platinum Bank Holding Company,Director,Amy Carey Lee,Manager,Hereford Holdings LLC,2014,Investor,
Platinum Bank Holding Company,Director,Amy Carey Lee,Manager,Hereford Investments LLC,2014,Investor,
Platinum Bank Holding Company,Director,Amy Carey Lee,Manager,Oaktrail Apartments LLC,2014,Investor,
Platinum Bank Holding Company,Director,Amy Carey Lee,Manager,"Thuzi Investment I,LLC",2014,Investor,
Platinum Bank Holding Company,Director,Amy Carey Lee,Secretary/Treasuer,Kimmins Corp,2014,Investor,
Platinum Bank Holding Company,Director/Polk County Region President,Kenneth D. Ely,Managing Member,10 EC Joke LLC,2014,Contracting Executive,
Platinum Bank Holding Company,Director,Ross S. Elsberry,,,2014,Retired Agricultural Executive,
Platinum Bank Holding Company,Director,"Dr. W. Edward Gonzalez,Jr.",Sole Owner,Pediatric Dental Center,2014,,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,"M & M Properties,LLP",2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Gandy Partners LLC,2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,LaViva Associates LLP,2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Ariana Associates LLC,2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Heard Investments LLC,2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Parkview Investments LLC,2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,Partner,"3020 Azeele,Inc.",2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Red Fish Investments LLC,2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Anchor I Investments LLC,2014,Real Estate Executive,
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Dore Properties LLC,2014,Real Estate Executive,
Platinum Bank Holding Company,Director,Henry Gonzalez,,,2014,,
Platinum Bank Holding Company,Director,Richard Straughn,President,"Straughn & Turner,PA",2014,Attorney at Law,
Platinum Bank Holding Company,Director,Richard Straughn,President,Magnolia Properties,2014,Attorney at Law,
Platinum Bank Holding Company,Director,Phillip Carroll,President,Carroll Air Systems,2014,Air Conditioning Executive,
Platinum Bank Holding Company,Director/President/CEO,Jerry M. Kyle,Member,M & M Properties LLP,2015,,4337348
Platinum Bank Holding Company,Director,Amy Carey Lee,,,2015,Investor,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,"Thuzi,LLC",2015,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Secretary/Treasurer,"JFJ Investments,Inc",2015,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,Hereford Holdings LLC,2015,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,Hereford Investments LLC,2015,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,Oaktrail Apartments LLC,2015,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,"Thuzi Investment I,LLC",2015,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Secretary/Treasuer,Kimmins Corp,2015,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Kenneth D. Ely,Managing Member,10 EC Joke LLC,2015,,4337348
Platinum Bank Holding Company,Director,Ross S. Elsberry,,,2015,Retired Agricultural Executive,4337348
Platinum Bank Holding Company,Director,"Dr. W. Edward Gonzalez,Jr.",Sole Owner,Pediatric Dental Center,2015,Pediatric Dentist,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,"M & M Properties,LLP",2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Gandy Partners LLC,2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,LaViva Associates LLP,2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Ariana Associates LLC,2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Heard Investments LLC,2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Parkview Investments LLC,2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,Partner,"3020 Azeele,Inc.",2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Red Fish Investments LLC,2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Anchor I Investments LLC,2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Dore Properties LLC,2015,Real Estate Executive,4337348
Platinum Bank Holding Company,Director,Richard Straughn,President,"Straughn & Turner,PA",2015,Attorney at Law,4337348
Platinum Bank Holding Company,Director,Richard Straughn,President,Magnolia Properties,2015,Attorney at Law,4337348
Platinum Bank Holding Company,Director,Phillip Carroll,President,Carroll Air Systems,2015,Air Conditioning Executive,4337348
Platinum Bank Holding Company,Director/President/CEO,Jerry M. Kyle,Member,M & M Properties LLP,2016,,4337348
Platinum Bank Holding Company,Director,Amy Carey Lee,,,2016,Investor,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,"Thuzi,LLC",2016,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Secretary/Treasurer,"JFJ Investments,Inc",2016,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,Hereford Holdings LLC,2016,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,Hereford Investments LLC,2016,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Manager,Oaktrail Apartments LLC,2016,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Joseph Williams,Secretary/Treasurer,Kimmins Corp,2016,Contracting Executive,4337348
Platinum Bank Holding Company,Director,Kenneth D. Ely,Managing Member,10 EC Joke LLC,2016,,4337348
Platinum Bank Holding Company,Director,Ross S. Elsberry,,,2016,Retired Agricultural Executive,4337348
Platinum Bank Holding Company,Director,"Dr. W. Edward Gonzalez,Jr.",Sole Owner,Pediatric Dental Center,2016,Pediatric Dentist,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,"M & M Properties,LLP",2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Gandy Partners LLC,2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,LaViva Associates LLP,2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Ariana Associates LLC,2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Heard Investments LLC,2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Parkview Investments LLC,2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,Partner,"3020 Azeele,Inc.",2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Red Fish Investments LLC,2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,President,Anchor I Investments LLC,2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director/Chairman of the Board,Lawrence M. Heard,,Dore Properties LLC,2016,Real Estate Executive,4337348
Platinum Bank Holding Company,Director,Richard Straughn,President,"Straughn & Turner,PA",2016,Attorney at Law,4337348
Platinum Bank Holding Company,Director,Richard Straughn,President,Magnolia Properties,2016,Attorney at Law,4337348
Platinum Bank Holding Company,Director,Phillip Carroll,President,Carroll Air Systems,2016,Air Conditioning Executive,4337348
Platinum Bank Holding Company,EVP/CFO,Julie Knight Longabach,,,2016,,4337348
"Port City Holding Company,Inc.",Chairman,Major H. Brannen,,Warren & Brannen,2014,Investment Advisor,1082601
"Port City Holding Company,Inc.",Vice Chairman,Ted Martin,,,2014,Retired,1082601
"Port City Holding Company,Inc.",President/ CEO,"Charles S. Bowles,Jr.",President/ CEO,"Charter Management Group,LLC",2014,,1082601
"Port City Holding Company,Inc.",President/ CEO,"Charles S. Bowles,Jr.",President/ CEO,"CDL,LLC",2014,,1082601
"Port City Holding Company,Inc.",Director,Bill Burke,,"Burke,Worsham & Harrell","LLC,2014",CPA,1082601
"Port City Holding Company,Inc.",Director,Bill Burke,,"Burke,Burke & Co. PC",2014,CPA,1082601
"Port City Holding Company,Inc.",Director,Bill Burke,,Betty Johnson 2005 Trust,2014,CPA,1082601
"Port City Holding Company,Inc.",Director,Bill Burke,,Todd Johnson Trust,2014,CPA,1082601
"Port City Holding Company,Inc.",Director,Bill Burke,,Rebecca Di Stefano Ins. Trust,2014,CPA,1082601
"Port City Holding Company,Inc.",SVP/COO,Marvalynn W. Carroll,,,2014,,1082601
"Port City Holding Company,Inc.",Director,Perry L. Clements,,Land Management Servicing LLC,2014,Business Owner,1082601
"Port City Holding Company,Inc.",Director,Perry L. Clements,,Invasive Plant Solutions LLC,2014,Business Owner,1082601
"Port City Holding Company,Inc.",Director,B. Thomas Conger,,Old School Enterprises LLC,2014,Attorney,1082601
"Port City Holding Company,Inc.",Director,B. Thomas Conger,,North Campus Enterprises LLC,2014,Attorney,1082601
"Port City Holding Company,Inc.",Director,B. Thomas Conger,,Conger Family Trust,2014,Attorney,1082601
"Port City Holding Company,Inc.",Director,Tommy Dollar,,Dollar Farm Products,2014,Farming,1082601
"Port City Holding Company,Inc.",Director,Tommy Dollar,,Dollar Family Farm,2014,Farming,1082601
"Port City Holding Company,Inc.",Director,Tommy Dollar,,"Mosquito Creek,LLC",2014,Farming,1082601
"Port City Holding Company,Inc.",Director,Henry Metcalf,,"The Ausmac Group,LLC",2014,Retired,1082601
"Port City Holding Company,Inc.",Director,Matt Palmer,,"The Palmer Agency,Inc.",2014,Insurance Advisor,1082601
"Port City Holding Company,Inc.",Director,Matt Palmer,,Reynolds Jeffords Agency LLC,2014,Insurance Advisor,1082601
"Port City Holding Company,Inc.",Director,Bill Reynolds,,Vada Place LLC,2014,Insurance Advisor,1082601
"Port City Holding Company,Inc.",Director,Jerry Sharber,,Jerry D. & J.E. Sharber,2014,Retired,1082601
"Port City Holding Company,Inc.",Director,Don Whaley,,Health Products,2014,Business Owner,1082601
"Port City Holding Company,Inc.",Chairman,Major H. Brannen,VP,Warren & Brannen,2015,Investment Advisor,1082601
"Port City Holding Company,Inc.",Vice Chairman,Ted Martin,,,2015,Retired,1082601
"Port City Holding Company,Inc.",President/Director,"Charles S. Bowles,Jr.",President/CEO,"Charter Management Group,LLC",2015,,1082601
"Port City Holding Company,Inc.",President/Director,"Charles S. Bowles,Jr.",President/CEO,"Bainbridge Charter Management,Inc.",2015,,1082601
"Port City Holding Company,Inc.",President/Director,"Charles S. Bowles,Jr.",President/CEO,"CDL,LLC",2015,,1082601
"Port City Holding Company,Inc.",Director,Bill Burke,Trustee,Betty Johnson 2005 Trust,2015,CPA,1082601
"Port City Holding Company,Inc.",Director,Bill Burke,Trustee,Todd Johnson Trust,2015,CPA,1082601
"Port City Holding Company,Inc.",Director,Bill Burke,Trustee,Rebecca Di Stefano Ins. Trust,2015,CPA,1082601
"Port City Holding Company,Inc.",SVP/COO,Marvalynn W. Carroll,,,2015,,1082601
"Port City Holding Company,Inc.",Director,Perry L. Clements,Owner,Land Management Servicing LLC,2015,Business Owner,1082601
"Port City Holding Company,Inc.",Director,Perry L. Clements,Owner,Invasive Plant Solutions LLC,2015,Business Owner,1082601
"Port City Holding Company,Inc.",Director,B. Thomas Conger,Member,Old School Enterprises LLC,2015,Attorney,1082601
"Port City Holding Company,Inc.",Director,B. Thomas Conger,Member,North Campus Enterprises LLC,2015,Attorney,1082601
"Port City Holding Company,Inc.",Director,B. Thomas Conger,Trustee & Beneficiary,Conger Family Trust,2015,Attorney,1082601
"Port City Holding Company,Inc.",Director,Tommy Dollar,President,Dollar Farm Products,2015,Farming,1082601
"Port City Holding Company,Inc.",Director,Tommy Dollar,,Dollar Family Farm,2015,Farming,1082601
"Port City Holding Company,Inc.",Director,Henry Metcalf,,"Mosquito Creek,LLC",2015,Retired,1082601
"Port City Holding Company,Inc.",Director,Matt Palmer,,"The Ausmac Group,LLC",2015,Insurance Advisor,1082601
"Port City Holding Company,Inc.",Director,Matt Palmer,President,"The Palmer Agency,Inc.",2015,Insurance Advisor,1082601
"Port City Holding Company,Inc.",Director,Bill Reynolds,Owner,Reynolds Jeffords Agency LLC,2015,Insurance Advisor,1082601
"Port City Holding Company,Inc.",Director,Bill Reynolds,Member,Vada Place LLC,2015,Insurance Advisor,1082601
"Port City Holding Company,Inc.",Director,Jerry Sharber,Partner,"Jerry D. & J.E. Sharber,Partnership",2015,Retired,1082601
"Port City Holding Company,Inc.",Director,Don Whaley,CEO,Health Products,2015,Business Owner,1082601
First Port City Bank,Chairman,Major H. Brannen,VP,Warren & Brannen,2017,Investment Advisor,
First Port City Bank,"President/CEO,Director",Lloyd Scott Ewing,Manager,JA Holdings,2017,,
First Port City Bank,"President/CEO,Director",Lloyd Scott Ewing,Member,THMB LLC,2017,,
First Port City Bank,Director,Bill Burke,Chairman/President,Wiregrass Medical & Surgical Center,2017,CPA,
First Port City Bank,Director,Bill Burke,Trustee,Betty Johnson 2005 Trust,2017,CPA,
First Port City Bank,Director,Bill Burke,Trustee,Todd Johnson Trust,2017,CPA,
First Port City Bank,Director,Bill Burke,Trustee,Rebecca Di Stefano Ins. Trust,2017,CPA,
First Port City Bank,SVP/CFO,Marvalynn W. Carroll,,,2017,,
First Port City Bank,Director,Perry L. Clements,Owner,Land Management Servicing LLC,2017,Business Owner,
First Port City Bank,Director,Perry L. Clements,Owner,Invasive Plant Solutions LLC,2017,Business Owner,
First Port City Bank,Director,B. Thomas Conger,Member,Conger & Smith LLC,2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Member,Old School Enterprises LLC,2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Member,North Campus Enterprises LLC,2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Trustee & Beneficiary,Conger Family Trust,2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Pres.,"B. Thomas Conger,Attorney at Law PC",2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Member,Pro Wash Investments LLC,2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Member,Bainbridge Enterprise Company LLC,2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Member,Three Dog Enterprises LLC,2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Member,Water Street Bainbridge LLC,2017,Attorney,
First Port City Bank,Director,B. Thomas Conger,Member,BLT Invesments LLC,2017,Attorney,
First Port City Bank,Director,Tommy Dollar,CEO,Dollar Farm Products,2017,Farming,
First Port City Bank,Director,Tommy Dollar,Partner,Dollar Family Farm,2017,Farming,
First Port City Bank,Director,Tommy Dollar,Partner,"Mosquito Creek,LLC T&T Farms",2017,Farming,
First Port City Bank,Director,Tommy Dollar,Member,Dollar Family Propertys LLC,2017,Farming,
First Port City Bank,Director,Tommy Dollar,President,"Dollar & Franklin,LLC",2017,Farming,
First Port City Bank,Director,Tommy Dollar,President,Dollar Family Machinge Hire Services LLC,2017,Farming,
First Port City Bank,Director,Tommy Dollar,President,Dollar Farms Exports,2017,Farming,
First Port City Bank,Director,Tommy Dollar,,Decatur Towers,2017,Farming,
First Port City Bank,Director,Matt Palmer,President,"The Palmer Agency,Inc.",2017,Insurance Advisor,
First Port City Bank,Director,Bill Reynolds,,Reynolds Jetfords Agency LLC,2017,Insurance Advisor,
First Port City Bank,Director,Bill Reynolds,Managing Partner,Vada Place LLC,2017,Insurance Advisor,
First Port City Bank,Director,Bill Reynolds,Managing Partner,Vada Place LP,2017,Insurance Advisor,
First Port City Bank,Director,Bill Reynolds,Member,Just 4 Girls Farms LLC,2017,Insurance Advisor,
First Port City Bank,Director,Bill Reynolds,Member,Just 4 Girls Real Estate LLC,2017,Insurance Advisor,
First Port City Bank,Director,Don Whaley,CEO,Health Products,2017,Business Owner,
First Port City Bank,Director,Jerry Sharber,Partner,"Jerry D. & J.E. Sharber,Partnership",2017,Retired,
First Port City Bank,,James E. Sharber Jr.,,,2017,Retired,
First Port City Bank,,Sandra Lyn Sharber,,,2017,Clerk,
First Port City Bank,,Lisa Ann Sharber,,,2017,Nurse,
First Port City Bank,Chairman,Major H. Brannen,,Brannen & Lyle Investment Co,2021,Investment Advisor,262237
First Port City Bank,Chairman,Major H. Brannen,,B & L Southern Enterprises,2021,Investment Advisor,262237
First Port City Bank,Chairman,Major H. Brannen,,Blue Springs Flint River LLC,2021,Investment Advisor,262237
First Port City Bank,Chairman,Major H. Brannen,,JA Holdings,2021,Investment Advisor,262237
First Port City Bank,Chairman,Major H. Brannen,,THMB LLC,2021,Investment Advisor,262237
First Port City Bank,Chairman,Major H. Brannen,,K & S Real Estate Investments,2021,Investment Advisor,262237
First Port City Bank,Chairman,Major H. Brannen,,"Way Point RE,LLC",2021,Investment Advisor,262237
First Port City Bank,Chairman,Major H. Brannen,,"Market Rate Homes,LLC",2021,Investment Advisor,262237
First Port City Bank,President/ CEO,Lloyd Scott Ewing,President/CEO,,2021,,262237
First Port City Bank,Director,Bill Burke,,"Burke,Worsham & Harrell","LLC,2021",CPA,262237
First Port City Bank,Director,Bill Burke,,Burke Financial Advisor & Services LLC,2021,CPA,262237
First Port City Bank,Director,Bill Burke,,Wiregrass Medical & Surgical Center,2021,CPA,262237
First Port City Bank,Director,Marvalynn W. Carroll,EVP/CFO/CRO,,2021,,262237
First Port City Bank,Director,Perry L. Clements,,Land Management Servicing LLC,2021,Business Owner,262237
First Port City Bank,Director,Perry L. Clements,,Invasive Plant Solutions LLC,2021,Business Owner,262237
First Port City Bank,Director,B. Thomas Conger,,"B. Thomas Conger,Attorney at Law PC",2021,Attorney,262237
First Port City Bank,Director,B. Thomas Conger,,Pro Wash Investments LLC,2021,Attorney,262237
First Port City Bank,Director,B. Thomas Conger,,Bainbridge Enterprise Company LLC,2021,Attorney,262237
First Port City Bank,Director,B. Thomas Conger,,Three Dog Enterprises LLC,2021,Attorney,262237
First Port City Bank,Director,B. Thomas Conger,,Water Street Bainbridge LLC,2021,Attorney,262237
First Port City Bank,Director,B. Thomas Conger,,BLT Invesments LLC,2021,Attorney,262237
First Port City Bank,Director,B. Thomas Conger,,Bainbridge Ice Company LLC,2021,Attorney,262237
First Port City Bank,Director,Tommy Dollar,,Dollar Family Farm,2021,Farming,262237
First Port City Bank,Director,Tommy Dollar,,"Mosquito Creek,LLC T&T Farms",2021,Farming,262237
First Port City Bank,Director,Tommy Dollar,,Dollar Family Propertys LLC,2021,Farming,262237
First Port City Bank,Director,Tommy Dollar,,"Dollar & Franklin,LLC",2021,Farming,262237
First Port City Bank,Director,Tommy Dollar,,Dollar Family Machine Hire Services LLC,2021,Farming,262237
First Port City Bank,Director,Bill Reynolds,,Reynolds Jeffords Agency LLC,2021,Insurance Advisor,262237
First Port City Bank,Director,Bill Reynolds,,Vada Management,2021,Insurance Advisor,262237
First Port City Bank,Director,Bill Reynolds,,Vada Place LP,2021,Insurance Advisor,262237
First Port City Bank,Director,Bill Reynolds,,Just 4 Girls Farms LLC,2021,Insurance Advisor,262237
First Port City Bank,Director,Bill Reynolds,,Just 4 Girls Real Estate LLC,2021,Insurance Advisor,262237
First Port City Bank,Director,Don Whaley,,Port City Management,2021,Business Owner,262237
First Port City Bank,Director,Jerry Sharber,,"JES & JDS,PTRS",2021,Retired,262237
First Port City Bank,Director,Sandra Lyn Sharber,,,2021,Clerk,262237
First Port City Bank,Director,Lisa Ann Sharber,,,2021,Nurse,262237
First Port City Bank,Director,Gail E. Sharber,,,2021,Retired,262237
First Port City Bank,Director,Nancy Jernigan,EVP/CLO EVP/,,2021,,262237
First Port City Bank,Director,Walt Durand Childers,President FL,,2021,,262237
First Port City Bank,Director,Robert M. Cohen III,,Robert M Cohen III LLC,2021,Business Owner,262237
First Port City Bank,Director,Robert M. Cohen III,,Massey Products LLC,2021,Business Owner,262237
First Port City Bank,Director,Robert M. Cohen III,,RR & E Pecans LLC,2021,Business Owner,262237
First Port City Bank,Director,Robert M. Cohen III,,R & E LLC,2021,Business Owner,262237
First Port City Bank,Director,Robert M. Cohen III,,Southeastern Fumigouts LLC,2021,Business Owner,262237
First Port City Bank,Director,Robert M. Cohen III,,R & E Pecan Growers Group Inc,2021,Business Owner,262237
