Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Percentage of Voting Shares,RSSD_ID,Percentage of Voting Shares in Subsidiaries,URL_Bank_Name,Table Presence
AFNB Holdings INC,Director,"Cheng,Paul""""",n/a,n/a,2023,Retired from Sr. Mgr. Lockheed Martin Astrautics,0.9942%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Chien,Wu-Ann Andy""""",Director & Secretary,Walrus America Inc,2023,Business Entrepreneur,1.3871%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Chuang,Hsing Hua""""",n/a,n/a,2023,"Retired from President,TY Cushion Tire Co.""""",0.2572%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Lakhany,Ali""""",C.E.O.,A. Lakhany Intl Inc,2023,Business Entrepreneur,0.1720%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Kao,Cheng Yuan""""",President,W-K-M Investment,2023,Business Entrepreneur,2.9105%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Miller,Ronnie L""""",Manager/Treasurer,Taylor Brothers Funeral Home Ltd,2023,Business Entrepreneur,0.7228%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Sun,Steven""""",n/a,n/a,2023,Retired from Owner of Matsu Japanese Restaurant,2.3030%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Wang,Chong-Huey Hong""""",n/a,n/a,2023,"Retired from President,Wang's Reservoir Technology Inc""""",0.7703%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Wu,Gor Pau""""",President,Western In Motel,2023,Business Entrepreneur,0.7505%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Tseng,George S.""""",President,Tseng Consulting Group Inc,2023,Business Entrepreneur,2.0881%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Director,"Tseng,Albert""""",n/a,n/a,2023,Doctor,0.2871%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Manager,"Tseng,Mary""""",n/a,n/a,2023,n/a,0.2474%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AFNB Holdings INC,Manager,"Tseng,Nancy Kisha""""",n/a,n/a,2023,n/a,0.2474%,n/a,n/a,"AFNB Holdings, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Chairman & President,Arturo Ortega,President,3BU Family LP,2023,n/a,57%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Chairman & President,Arturo Ortega,President,3BU LLC,2023,n/a,57%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Chairman & President,Arturo Ortega,President,"Platon Farms,Inc.""""",2023,n/a,57%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Chairman & President,Arturo Ortega,President,"Picho Farms,LLC""""",2023,n/a,57%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Chairman & President,Arturo Ortega,President,"Tres De Enero,LLC""""",2023,n/a,57%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Chairman & President,Arturo Ortega,President,"TYO,LLC""""",2023,n/a,57%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Chairman & President,Arturo Ortega,President,533 Properties JV,2023,n/a,57%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director & Secretary,Anthony Ortega,Attorney,Law office of Anthony Ortega PLLC,2023,Attorney,1%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Mario Alberto Reyna,Vice President,"Melden & Hunt,Inc.""""",2023,Civil Engineer,0.33%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Mario Alberto Reyna,President,"Mr M Investments,LLC""""",2023,Civil Engineer,0.33%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Ramon Montalvo III,Agent & Owner,Montalvo Insurance Agency,2023,Insurance Agency Owner,1%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,Pharmacist in charge,"Moron Vela,Inc""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Ramca,Inc""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Celsan,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,Paloma's Pharmacy LLC,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,Rio Script Pharmacy LLC,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,Vice President,Morvel Inc,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,Vice President,"S Mian,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,D.A.D. Vela Investments LLC,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Vajhaj,Inc""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Simcha,Inc""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Amistad Health Services,Inc""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,Valven Group LP,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,Calico Construction & Development LLC,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,Genesis PHC Services LLC,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Cosas Del Ayer,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,Vice President,"Ridgepoint Medical Pharmacy,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,Vice President,J Sanchez Motors,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Delpen Holdings,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"RBJ Business Solutions,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,Secretary,Life Touch Home Health,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Mara's Pharmacy,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"La Feria Drug,LTD""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Mariposa Home Care,Inc.""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Dad's RX Solutions,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Apple Pharmacy Solutions,Inc.""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Daniel's Pharmacy,Inc.""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Divine Pharmacy,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,Vice President,"Pharmacy Station,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Apple RX Group,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Callahan Transport,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"CBA Group Management,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"One Stop Pharma,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Mario's Rx Pharmacy,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Kasal Construction,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Freedom RX,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,Member,"533 Properties,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"DMHC,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Garcia's Pharmacy,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,GSE Health Care Incorporated,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,Pro-Script Pharmacy Services Inc.,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"PMJ Unlimited,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,Dogs Get Wings Investments,2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Freedom Management Services,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Betsel Investments,Inc""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Aaron's #1,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Aaron's #2,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Aaron's #3,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Laredo Family Pharmacy,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Apple Scruffs Lab Services,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Double V Holdings,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Silver Candle Holdings,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
AOB Ventures,Director,Jose Alberto Vela,President,"Pharmacy Station DME,LLC""""",2023,Pharmacist,6%,n/a,None,"AOB Ventures, Inc._Y-6_2023-12-31T00_00_00_English",both
ADRIAN BUILDING CORPORATION,Director,Matt Eickhoff,n/a,n/a,2024,n/a,n/a,1125254,n/a,Adrian Building Corporation_Y-6_2024-12-31T00_00_00_English,insiders
"Albany Bancshares,Inc.""""",Director,Jon Rex Jones,Director,Jones Family Entities,2023,Oil Producer,0.02%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Robert B. Arnot,President,"Arnot Oil Co.,LLC""""",2023,Oil Production Petroleum Engineer,0.10%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Robert B. Arnot,Partner,Paloma Exploration,2023,Oil Production Petroleum Engineer,0.10%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Chairman/CEO,Tim Cooper,Co-Trustee,Cooper Contribution Trust,2023,Banker,0.02%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",CFO,Thomas Lowery,n/a,n/a,2023,Banker,n/a,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,J. Randall Palmore,Director/Albany President,n/a,2023,Banker,0.52%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,K. Kevin Simmons,Director/Breckenridge President,n/a,2023,Banker,0.52%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Anthony Sandoval,Director/Abilene President,n/a,2023,Banker,0.02%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Caught Stealing MLB,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Foul Territory,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Jacobs Exploration,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Picquet Management,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Spirit Funding,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Zulu Assets,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Zulu Energy,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Zulu Ranch,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Zulu Sports,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Manager,Papa Kilo LLC,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Trustee,Marcia Jacobs Testamentary Trust,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Trustee,07Romeo Irrevocable Trust,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Trustee,Tango23 Irrevocable Trust,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Trustee,The Jimmie R Picquet Irrevocable Trust,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Trustee,The Glenn A. Picquet Testamentary Trust,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,President,Lotega LLC,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,President,The Charles E Jacobs Foundation,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,President,Texas Sports Acquisition Group,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director,Glenn A. Picquet,Director,Rangers Baseball Express,2023,Oil Producer & Investor,1.03%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Albany Bancshares,Inc.""""",Director & Principal Shareholder,Lynne Jacobs Teinert,n/a,n/a,2023,Oil Producer & Investor,12.20%,n/a,n/a,"Albany Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Allegheny Bancshares,Inc.""""",Director,"William S. Beard,Jr.""""",n/a,n/a,2023,Farmer,0.28%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Ryan Boggs,n/a,n/a,2023,Certified Public Accountant,.07%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Ryan Boggs,n/a,"Beachy Arehart,PLLC""""",2023,Certified Public Accountant,.07%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Ryan Boggs,n/a,"74 Walnut,LLC""""",2023,Certified Public Accountant,.07%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Ryan Boggs,n/a,"460 N Main,LLC""""",2023,Certified Public Accountant,.07%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Ryan Boggs,n/a,"209 N High,LLC""""",2023,Certified Public Accountant,.07%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Ryan Boggs,n/a,"South Ranch Branch,LLC""""",2023,Certified Public Accountant,.07%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""","William G. Bosley,III""""",n/a,"Bosley Eye Care,Inc.""""",2023,Optometrist,0.14%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""","William G. Bosley,III""""",n/a,M&B Real Estate Investments LLC,2023,Optometrist,0.14%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,"JCM Development,LLC""""",2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,WRP LLC,2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,Deer Creek Properties,2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
